,Gender,Organ,Type,Value
WI,All Genders,All Organs,Total Donors,192
WA,All Genders,All Organs,Total Donors,176
VA,All Genders,All Organs,Total Donors,179
UT,All Genders,All Organs,Total Donors,83
TX,All Genders,All Organs,Total Donors,656
TN,All Genders,All Organs,Total Donors,301
SC,All Genders,All Organs,Total Donors,103
PR,All Genders,All Organs,Total Donors,105
PA,All Genders,All Organs,Total Donors,611
OR,All Genders,All Organs,Total Donors,75
OK,All Genders,All Organs,Total Donors,94
OH,All Genders,All Organs,Total Donors,297
NC,All Genders,All Organs,Total Donors,299
NY,All Genders,All Organs,Total Donors,358
NM,All Genders,All Organs,Total Donors,34
NJ,All Genders,All Organs,Total Donors,139
NV,All Genders,All Organs,Total Donors,75
NE,All Genders,All Organs,Total Donors,40
MO,All Genders,All Organs,Total Donors,165
MS,All Genders,All Organs,Total Donors,76
MN,All Genders,All Organs,Total Donors,153
MI,All Genders,All Organs,Total Donors,261
MA,All Genders,All Organs,Total Donors,217
MD,All Genders,All Organs,Total Donors,142
LA,All Genders,All Organs,Total Donors,170
KY,All Genders,All Organs,Total Donors,88
KS,All Genders,All Organs,Total Donors,209
IA,All Genders,All Organs,Total Donors,60
IN,All Genders,All Organs,Total Donors,154
IL,All Genders,All Organs,Total Donors,270
HI,All Genders,All Organs,Total Donors,57
GA,All Genders,All Organs,Total Donors,269
FL,All Genders,All Organs,Total Donors,554
DC,All Genders,All Organs,Total Donors,132
CT,All Genders,All Organs,Total Donors,42
CO,All Genders,All Organs,Total Donors,126
CA,All Genders,All Organs,Total Donors,861
AR,All Genders,All Organs,Total Donors,67
AZ,All Genders,All Organs,Total Donors,143
AL,All Genders,All Organs,Total Donors,110
WI,All Genders,All Organs,Total Recovered,668
WA,All Genders,All Organs,Total Recovered,624
VA,All Genders,All Organs,Total Recovered,599
UT,All Genders,All Organs,Total Recovered,279
TX,All Genders,All Organs,Total Recovered,2357
TN,All Genders,All Organs,Total Recovered,1088
SC,All Genders,All Organs,Total Recovered,385
PR,All Genders,All Organs,Total Recovered,359
PA,All Genders,All Organs,Total Recovered,2102
OR,All Genders,All Organs,Total Recovered,271
OK,All Genders,All Organs,Total Recovered,360
OH,All Genders,All Organs,Total Recovered,1067
NC,All Genders,All Organs,Total Recovered,1060
NY,All Genders,All Organs,Total Recovered,1093
NM,All Genders,All Organs,Total Recovered,106
NJ,All Genders,All Organs,Total Recovered,451
NV,All Genders,All Organs,Total Recovered,274
NE,All Genders,All Organs,Total Recovered,139
MO,All Genders,All Organs,Total Recovered,618
MS,All Genders,All Organs,Total Recovered,286
MN,All Genders,All Organs,Total Recovered,553
MI,All Genders,All Organs,Total Recovered,902
MA,All Genders,All Organs,Total Recovered,732
MD,All Genders,All Organs,Total Recovered,533
LA,All Genders,All Organs,Total Recovered,618
KY,All Genders,All Organs,Total Recovered,317
KS,All Genders,All Organs,Total Recovered,721
IA,All Genders,All Organs,Total Recovered,213
IN,All Genders,All Organs,Total Recovered,609
IL,All Genders,All Organs,Total Recovered,925
HI,All Genders,All Organs,Total Recovered,156
GA,All Genders,All Organs,Total Recovered,922
FL,All Genders,All Organs,Total Recovered,1957
DC,All Genders,All Organs,Total Recovered,421
CT,All Genders,All Organs,Total Recovered,156
CO,All Genders,All Organs,Total Recovered,449
CA,All Genders,All Organs,Total Recovered,3115
AR,All Genders,All Organs,Total Recovered,241
AZ,All Genders,All Organs,Total Recovered,511
AL,All Genders,All Organs,Total Recovered,365
WI,All Genders,Kidney,Total Recovered,354
WA,All Genders,Kidney,Total Recovered,342
VA,All Genders,Kidney,Total Recovered,335
UT,All Genders,Kidney,Total Recovered,160
TX,All Genders,Kidney,Total Recovered,1157
TN,All Genders,Kidney,Total Recovered,558
SC,All Genders,Kidney,Total Recovered,189
PR,All Genders,Kidney,Total Recovered,184
PA,All Genders,Kidney,Total Recovered,1081
OR,All Genders,Kidney,Total Recovered,144
OK,All Genders,Kidney,Total Recovered,182
OH,All Genders,Kidney,Total Recovered,547
NC,All Genders,Kidney,Total Recovered,548
NY,All Genders,Kidney,Total Recovered,593
NM,All Genders,Kidney,Total Recovered,64
NJ,All Genders,Kidney,Total Recovered,264
NV,All Genders,Kidney,Total Recovered,146
NE,All Genders,Kidney,Total Recovered,76
MO,All Genders,Kidney,Total Recovered,278
MS,All Genders,Kidney,Total Recovered,145
MN,All Genders,Kidney,Total Recovered,285
MI,All Genders,Kidney,Total Recovered,478
MA,All Genders,Kidney,Total Recovered,409
MD,All Genders,Kidney,Total Recovered,257
LA,All Genders,Kidney,Total Recovered,279
KY,All Genders,Kidney,Total Recovered,170
KS,All Genders,Kidney,Total Recovered,376
IA,All Genders,Kidney,Total Recovered,116
IN,All Genders,Kidney,Total Recovered,291
IL,All Genders,Kidney,Total Recovered,483
HI,All Genders,Kidney,Total Recovered,110
GA,All Genders,Kidney,Total Recovered,417
FL,All Genders,Kidney,Total Recovered,993
DC,All Genders,Kidney,Total Recovered,213
CT,All Genders,Kidney,Total Recovered,82
CO,All Genders,Kidney,Total Recovered,236
CA,All Genders,Kidney,Total Recovered,1629
AR,All Genders,Kidney,Total Recovered,122
AZ,All Genders,Kidney,Total Recovered,265
AL,All Genders,Kidney,Total Recovered,196
WI,All Genders,Pancreas,Total Recovered,0
WA,All Genders,Pancreas,Total Recovered,11
VA,All Genders,Pancreas,Total Recovered,2
UT,All Genders,Pancreas,Total Recovered,31
TX,All Genders,Pancreas,Total Recovered,23
TN,All Genders,Pancreas,Total Recovered,8
SC,All Genders,Pancreas,Total Recovered,1
PR,All Genders,Pancreas,Total Recovered,0
PA,All Genders,Pancreas,Total Recovered,87
OR,All Genders,Pancreas,Total Recovered,10
OK,All Genders,Pancreas,Total Recovered,20
OH,All Genders,Pancreas,Total Recovered,66
NC,All Genders,Pancreas,Total Recovered,56
NY,All Genders,Pancreas,Total Recovered,46
NM,All Genders,Pancreas,Total Recovered,2
NJ,All Genders,Pancreas,Total Recovered,19
NV,All Genders,Pancreas,Total Recovered,14
NE,All Genders,Pancreas,Total Recovered,9
MO,All Genders,Pancreas,Total Recovered,22
MS,All Genders,Pancreas,Total Recovered,9
MN,All Genders,Pancreas,Total Recovered,34
MI,All Genders,Pancreas,Total Recovered,41
MA,All Genders,Pancreas,Total Recovered,40
MD,All Genders,Pancreas,Total Recovered,39
LA,All Genders,Pancreas,Total Recovered,41
KY,All Genders,Pancreas,Total Recovered,13
KS,All Genders,Pancreas,Total Recovered,43
IA,All Genders,Pancreas,Total Recovered,14
IN,All Genders,Pancreas,Total Recovered,49
IL,All Genders,Pancreas,Total Recovered,83
HI,All Genders,Pancreas,Total Recovered,8
GA,All Genders,Pancreas,Total Recovered,41
FL,All Genders,Pancreas,Total Recovered,91
DC,All Genders,Pancreas,Total Recovered,21
CT,All Genders,Pancreas,Total Recovered,11
CO,All Genders,Pancreas,Total Recovered,23
CA,All Genders,Pancreas,Total Recovered,141
AR,All Genders,Pancreas,Total Recovered,6
AZ,All Genders,Pancreas,Total Recovered,24
AL,All Genders,Pancreas,Total Recovered,20
WI,All Genders,Liver,Total Recovered,153
WA,All Genders,Liver,Total Recovered,136
VA,All Genders,Liver,Total Recovered,149
UT,All Genders,Liver,Total Recovered,53
TX,All Genders,Liver,Total Recovered,511
TN,All Genders,Liver,Total Recovered,265
SC,All Genders,Liver,Total Recovered,96
PR,All Genders,Liver,Total Recovered,89
PA,All Genders,Liver,Total Recovered,536
OR,All Genders,Liver,Total Recovered,65
OK,All Genders,Liver,Total Recovered,78
OH,All Genders,Liver,Total Recovered,245
NC,All Genders,Liver,Total Recovered,220
NY,All Genders,Liver,Total Recovered,293
NM,All Genders,Liver,Total Recovered,25
NJ,All Genders,Liver,Total Recovered,89
NV,All Genders,Liver,Total Recovered,62
NE,All Genders,Liver,Total Recovered,34
MO,All Genders,Liver,Total Recovered,140
MS,All Genders,Liver,Total Recovered,69
MN,All Genders,Liver,Total Recovered,131
MI,All Genders,Liver,Total Recovered,187
MA,All Genders,Liver,Total Recovered,158
MD,All Genders,Liver,Total Recovered,122
LA,All Genders,Liver,Total Recovered,162
KY,All Genders,Liver,Total Recovered,75
KS,All Genders,Liver,Total Recovered,148
IA,All Genders,Liver,Total Recovered,45
IN,All Genders,Liver,Total Recovered,136
IL,All Genders,Liver,Total Recovered,204
HI,All Genders,Liver,Total Recovered,34
GA,All Genders,Liver,Total Recovered,242
FL,All Genders,Liver,Total Recovered,478
DC,All Genders,Liver,Total Recovered,109
CT,All Genders,Liver,Total Recovered,37
CO,All Genders,Liver,Total Recovered,103
CA,All Genders,Liver,Total Recovered,672
AR,All Genders,Liver,Total Recovered,62
AZ,All Genders,Liver,Total Recovered,120
AL,All Genders,Liver,Total Recovered,97
WI,All Genders,Intestine,Total Recovered,2
WA,All Genders,Intestine,Total Recovered,1
VA,All Genders,Intestine,Total Recovered,3
UT,All Genders,Intestine,Total Recovered,3
TX,All Genders,Intestine,Total Recovered,5
TN,All Genders,Intestine,Total Recovered,8
SC,All Genders,Intestine,Total Recovered,2
PR,All Genders,Intestine,Total Recovered,0
PA,All Genders,Intestine,Total Recovered,4
OR,All Genders,Intestine,Total Recovered,0
OK,All Genders,Intestine,Total Recovered,3
OH,All Genders,Intestine,Total Recovered,1
NC,All Genders,Intestine,Total Recovered,4
NY,All Genders,Intestine,Total Recovered,6
NM,All Genders,Intestine,Total Recovered,0
NJ,All Genders,Intestine,Total Recovered,0
NV,All Genders,Intestine,Total Recovered,4
NE,All Genders,Intestine,Total Recovered,0
MO,All Genders,Intestine,Total Recovered,1
MS,All Genders,Intestine,Total Recovered,2
MN,All Genders,Intestine,Total Recovered,2
MI,All Genders,Intestine,Total Recovered,6
MA,All Genders,Intestine,Total Recovered,3
MD,All Genders,Intestine,Total Recovered,0
LA,All Genders,Intestine,Total Recovered,3
KY,All Genders,Intestine,Total Recovered,2
KS,All Genders,Intestine,Total Recovered,1
IA,All Genders,Intestine,Total Recovered,2
IN,All Genders,Intestine,Total Recovered,12
IL,All Genders,Intestine,Total Recovered,7
HI,All Genders,Intestine,Total Recovered,0
GA,All Genders,Intestine,Total Recovered,4
FL,All Genders,Intestine,Total Recovered,13
DC,All Genders,Intestine,Total Recovered,0
CT,All Genders,Intestine,Total Recovered,0
CO,All Genders,Intestine,Total Recovered,1
CA,All Genders,Intestine,Total Recovered,8
AR,All Genders,Intestine,Total Recovered,0
AZ,All Genders,Intestine,Total Recovered,0
AL,All Genders,Intestine,Total Recovered,1
WI,All Genders,Heart,Total Recovered,52
WA,All Genders,Heart,Total Recovered,59
VA,All Genders,Heart,Total Recovered,38
UT,All Genders,Heart,Total Recovered,29
TX,All Genders,Heart,Total Recovered,236
TN,All Genders,Heart,Total Recovered,92
SC,All Genders,Heart,Total Recovered,36
PR,All Genders,Heart,Total Recovered,24
PA,All Genders,Heart,Total Recovered,159
OR,All Genders,Heart,Total Recovered,25
OK,All Genders,Heart,Total Recovered,32
OH,All Genders,Heart,Total Recovered,95
NC,All Genders,Heart,Total Recovered,80
NY,All Genders,Heart,Total Recovered,99
NM,All Genders,Heart,Total Recovered,6
NJ,All Genders,Heart,Total Recovered,37
NV,All Genders,Heart,Total Recovered,20
NE,All Genders,Heart,Total Recovered,8
MO,All Genders,Heart,Total Recovered,48
MS,All Genders,Heart,Total Recovered,27
MN,All Genders,Heart,Total Recovered,47
MI,All Genders,Heart,Total Recovered,87
MA,All Genders,Heart,Total Recovered,56
MD,All Genders,Heart,Total Recovered,42
LA,All Genders,Heart,Total Recovered,44
KY,All Genders,Heart,Total Recovered,23
KS,All Genders,Heart,Total Recovered,64
IA,All Genders,Heart,Total Recovered,18
IN,All Genders,Heart,Total Recovered,61
IL,All Genders,Heart,Total Recovered,76
HI,All Genders,Heart,Total Recovered,0
GA,All Genders,Heart,Total Recovered,95
FL,All Genders,Heart,Total Recovered,176
DC,All Genders,Heart,Total Recovered,26
CT,All Genders,Heart,Total Recovered,16
CO,All Genders,Heart,Total Recovered,48
CA,All Genders,Heart,Total Recovered,279
AR,All Genders,Heart,Total Recovered,19
AZ,All Genders,Heart,Total Recovered,45
AL,All Genders,Heart,Total Recovered,27
WI,All Genders,Lung,Total Recovered,55
WA,All Genders,Lung,Total Recovered,60
VA,All Genders,Lung,Total Recovered,53
UT,All Genders,Lung,Total Recovered,26
TX,All Genders,Lung,Total Recovered,338
TN,All Genders,Lung,Total Recovered,106
SC,All Genders,Lung,Total Recovered,47
PR,All Genders,Lung,Total Recovered,45
PA,All Genders,Lung,Total Recovered,235
OR,All Genders,Lung,Total Recovered,27
OK,All Genders,Lung,Total Recovered,45
OH,All Genders,Lung,Total Recovered,113
NC,All Genders,Lung,Total Recovered,152
NY,All Genders,Lung,Total Recovered,56
NM,All Genders,Lung,Total Recovered,9
NJ,All Genders,Lung,Total Recovered,42
NV,All Genders,Lung,Total Recovered,28
NE,All Genders,Lung,Total Recovered,12
MO,All Genders,Lung,Total Recovered,129
MS,All Genders,Lung,Total Recovered,34
MN,All Genders,Lung,Total Recovered,54
MI,All Genders,Lung,Total Recovered,103
MA,All Genders,Lung,Total Recovered,66
MD,All Genders,Lung,Total Recovered,73
LA,All Genders,Lung,Total Recovered,89
KY,All Genders,Lung,Total Recovered,34
KS,All Genders,Lung,Total Recovered,89
IA,All Genders,Lung,Total Recovered,18
IN,All Genders,Lung,Total Recovered,60
IL,All Genders,Lung,Total Recovered,72
HI,All Genders,Lung,Total Recovered,4
GA,All Genders,Lung,Total Recovered,123
FL,All Genders,Lung,Total Recovered,206
DC,All Genders,Lung,Total Recovered,52
CT,All Genders,Lung,Total Recovered,10
CO,All Genders,Lung,Total Recovered,38
CA,All Genders,Lung,Total Recovered,386
AR,All Genders,Lung,Total Recovered,32
AZ,All Genders,Lung,Total Recovered,57
AL,All Genders,Lung,Total Recovered,24
WI,All Genders,All Organs,Total Transplanted,559
WA,All Genders,All Organs,Total Transplanted,525
VA,All Genders,All Organs,Total Transplanted,476
UT,All Genders,All Organs,Total Transplanted,259
TX,All Genders,All Organs,Total Transplanted,2061
TN,All Genders,All Organs,Total Transplanted,899
SC,All Genders,All Organs,Total Transplanted,331
PR,All Genders,All Organs,Total Transplanted,293
PA,All Genders,All Organs,Total Transplanted,1569
OR,All Genders,All Organs,Total Transplanted,249
OK,All Genders,All Organs,Total Transplanted,323
OH,All Genders,All Organs,Total Transplanted,953
NC,All Genders,All Organs,Total Transplanted,868
NY,All Genders,All Organs,Total Transplanted,956
NM,All Genders,All Organs,Total Transplanted,89
NJ,All Genders,All Organs,Total Transplanted,378
NV,All Genders,All Organs,Total Transplanted,234
NE,All Genders,All Organs,Total Transplanted,130
MO,All Genders,All Organs,Total Transplanted,556
MS,All Genders,All Organs,Total Transplanted,249
MN,All Genders,All Organs,Total Transplanted,465
MI,All Genders,All Organs,Total Transplanted,775
MA,All Genders,All Organs,Total Transplanted,635
MD,All Genders,All Organs,Total Transplanted,431
LA,All Genders,All Organs,Total Transplanted,556
KY,All Genders,All Organs,Total Transplanted,274
KS,All Genders,All Organs,Total Transplanted,626
IA,All Genders,All Organs,Total Transplanted,189
IN,All Genders,All Organs,Total Transplanted,530
IL,All Genders,All Organs,Total Transplanted,800
HI,All Genders,All Organs,Total Transplanted,116
GA,All Genders,All Organs,Total Transplanted,821
FL,All Genders,All Organs,Total Transplanted,1751
DC,All Genders,All Organs,Total Transplanted,356
CT,All Genders,All Organs,Total Transplanted,138
CO,All Genders,All Organs,Total Transplanted,390
CA,All Genders,All Organs,Total Transplanted,2787
AR,All Genders,All Organs,Total Transplanted,205
AZ,All Genders,All Organs,Total Transplanted,438
AL,All Genders,All Organs,Total Transplanted,317
WI,All Genders,Kidney,Total Transplanted,285
WA,All Genders,Kidney,Total Transplanted,294
VA,All Genders,Kidney,Total Transplanted,248
UT,All Genders,Kidney,Total Transplanted,144
TX,All Genders,Kidney,Total Transplanted,924
TN,All Genders,Kidney,Total Transplanted,407
SC,All Genders,Kidney,Total Transplanted,154
PR,All Genders,Kidney,Total Transplanted,134
PA,All Genders,Kidney,Total Transplanted,789
OR,All Genders,Kidney,Total Transplanted,131
OK,All Genders,Kidney,Total Transplanted,164
OH,All Genders,Kidney,Total Transplanted,456
NC,All Genders,Kidney,Total Transplanted,427
NY,All Genders,Kidney,Total Transplanted,491
NM,All Genders,Kidney,Total Transplanted,50
NJ,All Genders,Kidney,Total Transplanted,213
NV,All Genders,Kidney,Total Transplanted,116
NE,All Genders,Kidney,Total Transplanted,70
MO,All Genders,Kidney,Total Transplanted,230
MS,All Genders,Kidney,Total Transplanted,121
MN,All Genders,Kidney,Total Transplanted,220
MI,All Genders,Kidney,Total Transplanted,373
MA,All Genders,Kidney,Total Transplanted,352
MD,All Genders,Kidney,Total Transplanted,194
LA,All Genders,Kidney,Total Transplanted,227
KY,All Genders,Kidney,Total Transplanted,135
KS,All Genders,Kidney,Total Transplanted,308
IA,All Genders,Kidney,Total Transplanted,101
IN,All Genders,Kidney,Total Transplanted,250
IL,All Genders,Kidney,Total Transplanted,394
HI,All Genders,Kidney,Total Transplanted,84
GA,All Genders,Kidney,Total Transplanted,339
FL,All Genders,Kidney,Total Transplanted,840
DC,All Genders,Kidney,Total Transplanted,176
CT,All Genders,Kidney,Total Transplanted,72
CO,All Genders,Kidney,Total Transplanted,203
CA,All Genders,Kidney,Total Transplanted,1406
AR,All Genders,Kidney,Total Transplanted,97
AZ,All Genders,Kidney,Total Transplanted,215
AL,All Genders,Kidney,Total Transplanted,157
WI,All Genders,Pancreas,Total Transplanted,40
WA,All Genders,Pancreas,Total Transplanted,17
VA,All Genders,Pancreas,Total Transplanted,17
UT,All Genders,Pancreas,Total Transplanted,7
TX,All Genders,Pancreas,Total Transplanted,89
TN,All Genders,Pancreas,Total Transplanted,44
SC,All Genders,Pancreas,Total Transplanted,12
PR,All Genders,Pancreas,Total Transplanted,15
PA,All Genders,Pancreas,Total Transplanted,49
OR,All Genders,Pancreas,Total Transplanted,10
OK,All Genders,Pancreas,Total Transplanted,13
OH,All Genders,Pancreas,Total Transplanted,59
NC,All Genders,Pancreas,Total Transplanted,30
NY,All Genders,Pancreas,Total Transplanted,34
NM,All Genders,Pancreas,Total Transplanted,1
NJ,All Genders,Pancreas,Total Transplanted,14
NV,All Genders,Pancreas,Total Transplanted,10
NE,All Genders,Pancreas,Total Transplanted,7
MO,All Genders,Pancreas,Total Transplanted,19
MS,All Genders,Pancreas,Total Transplanted,5
MN,All Genders,Pancreas,Total Transplanted,21
MI,All Genders,Pancreas,Total Transplanted,37
MA,All Genders,Pancreas,Total Transplanted,22
MD,All Genders,Pancreas,Total Transplanted,23
LA,All Genders,Pancreas,Total Transplanted,37
KY,All Genders,Pancreas,Total Transplanted,9
KS,All Genders,Pancreas,Total Transplanted,32
IA,All Genders,Pancreas,Total Transplanted,11
IN,All Genders,Pancreas,Total Transplanted,34
IL,All Genders,Pancreas,Total Transplanted,55
HI,All Genders,Pancreas,Total Transplanted,6
GA,All Genders,Pancreas,Total Transplanted,38
FL,All Genders,Pancreas,Total Transplanted,72
DC,All Genders,Pancreas,Total Transplanted,15
CT,All Genders,Pancreas,Total Transplanted,7
CO,All Genders,Pancreas,Total Transplanted,21
CA,All Genders,Pancreas,Total Transplanted,109
AR,All Genders,Pancreas,Total Transplanted,4
AZ,All Genders,Pancreas,Total Transplanted,18
AL,All Genders,Pancreas,Total Transplanted,16
WI,All Genders,Liver,Total Transplanted,126
WA,All Genders,Liver,Total Transplanted,97
VA,All Genders,Liver,Total Transplanted,119
UT,All Genders,Liver,Total Transplanted,50
TX,All Genders,Liver,Total Transplanted,474
TN,All Genders,Liver,Total Transplanted,247
SC,All Genders,Liver,Total Transplanted,85
PR,All Genders,Liver,Total Transplanted,84
PA,All Genders,Liver,Total Transplanted,414
OR,All Genders,Liver,Total Transplanted,56
OK,All Genders,Liver,Total Transplanted,67
OH,All Genders,Liver,Total Transplanted,234
NC,All Genders,Liver,Total Transplanted,199
NY,All Genders,Liver,Total Transplanted,275
NM,All Genders,Liver,Total Transplanted,24
NJ,All Genders,Liver,Total Transplanted,76
NV,All Genders,Liver,Total Transplanted,56
NE,All Genders,Liver,Total Transplanted,33
MO,All Genders,Liver,Total Transplanted,130
MS,All Genders,Liver,Total Transplanted,63
MN,All Genders,Liver,Total Transplanted,121
MI,All Genders,Liver,Total Transplanted,172
MA,All Genders,Liver,Total Transplanted,141
MD,All Genders,Liver,Total Transplanted,108
LA,All Genders,Liver,Total Transplanted,157
KY,All Genders,Liver,Total Transplanted,72
KS,All Genders,Liver,Total Transplanted,136
IA,All Genders,Liver,Total Transplanted,39
IN,All Genders,Liver,Total Transplanted,116
IL,All Genders,Liver,Total Transplanted,198
HI,All Genders,Liver,Total Transplanted,22
GA,All Genders,Liver,Total Transplanted,226
FL,All Genders,Liver,Total Transplanted,459
DC,All Genders,Liver,Total Transplanted,89
CT,All Genders,Liver,Total Transplanted,33
CO,All Genders,Liver,Total Transplanted,84
CA,All Genders,Liver,Total Transplanted,608
AR,All Genders,Liver,Total Transplanted,53
AZ,All Genders,Liver,Total Transplanted,106
AL,All Genders,Liver,Total Transplanted,92
WI,All Genders,Intestine,Total Transplanted,2
WA,All Genders,Intestine,Total Transplanted,1
VA,All Genders,Intestine,Total Transplanted,3
UT,All Genders,Intestine,Total Transplanted,3
TX,All Genders,Intestine,Total Transplanted,4
TN,All Genders,Intestine,Total Transplanted,8
SC,All Genders,Intestine,Total Transplanted,2
PR,All Genders,Intestine,Total Transplanted,0
PA,All Genders,Intestine,Total Transplanted,4
OR,All Genders,Intestine,Total Transplanted,0
OK,All Genders,Intestine,Total Transplanted,3
OH,All Genders,Intestine,Total Transplanted,1
NC,All Genders,Intestine,Total Transplanted,4
NY,All Genders,Intestine,Total Transplanted,6
NM,All Genders,Intestine,Total Transplanted,0
NJ,All Genders,Intestine,Total Transplanted,0
NV,All Genders,Intestine,Total Transplanted,4
NE,All Genders,Intestine,Total Transplanted,0
MO,All Genders,Intestine,Total Transplanted,1
MS,All Genders,Intestine,Total Transplanted,2
MN,All Genders,Intestine,Total Transplanted,2
MI,All Genders,Intestine,Total Transplanted,6
MA,All Genders,Intestine,Total Transplanted,3
MD,All Genders,Intestine,Total Transplanted,0
LA,All Genders,Intestine,Total Transplanted,3
KY,All Genders,Intestine,Total Transplanted,2
KS,All Genders,Intestine,Total Transplanted,1
IA,All Genders,Intestine,Total Transplanted,2
IN,All Genders,Intestine,Total Transplanted,10
IL,All Genders,Intestine,Total Transplanted,6
HI,All Genders,Intestine,Total Transplanted,0
GA,All Genders,Intestine,Total Transplanted,4
FL,All Genders,Intestine,Total Transplanted,10
DC,All Genders,Intestine,Total Transplanted,0
CT,All Genders,Intestine,Total Transplanted,0
CO,All Genders,Intestine,Total Transplanted,1
CA,All Genders,Intestine,Total Transplanted,7
AR,All Genders,Intestine,Total Transplanted,0
AZ,All Genders,Intestine,Total Transplanted,0
AL,All Genders,Intestine,Total Transplanted,1
WI,All Genders,Heart,Total Transplanted,51
WA,All Genders,Heart,Total Transplanted,58
VA,All Genders,Heart,Total Transplanted,37
UT,All Genders,Heart,Total Transplanted,29
TX,All Genders,Heart,Total Transplanted,235
TN,All Genders,Heart,Total Transplanted,91
SC,All Genders,Heart,Total Transplanted,35
PR,All Genders,Heart,Total Transplanted,24
PA,All Genders,Heart,Total Transplanted,149
OR,All Genders,Heart,Total Transplanted,25
OK,All Genders,Heart,Total Transplanted,32
OH,All Genders,Heart,Total Transplanted,95
NC,All Genders,Heart,Total Transplanted,78
NY,All Genders,Heart,Total Transplanted,99
NM,All Genders,Heart,Total Transplanted,6
NJ,All Genders,Heart,Total Transplanted,37
NV,All Genders,Heart,Total Transplanted,20
NE,All Genders,Heart,Total Transplanted,8
MO,All Genders,Heart,Total Transplanted,48
MS,All Genders,Heart,Total Transplanted,27
MN,All Genders,Heart,Total Transplanted,47
MI,All Genders,Heart,Total Transplanted,86
MA,All Genders,Heart,Total Transplanted,55
MD,All Genders,Heart,Total Transplanted,40
LA,All Genders,Heart,Total Transplanted,44
KY,All Genders,Heart,Total Transplanted,23
KS,All Genders,Heart,Total Transplanted,64
IA,All Genders,Heart,Total Transplanted,18
IN,All Genders,Heart,Total Transplanted,61
IL,All Genders,Heart,Total Transplanted,76
HI,All Genders,Heart,Total Transplanted,0
GA,All Genders,Heart,Total Transplanted,95
FL,All Genders,Heart,Total Transplanted,174
DC,All Genders,Heart,Total Transplanted,24
CT,All Genders,Heart,Total Transplanted,16
CO,All Genders,Heart,Total Transplanted,47
CA,All Genders,Heart,Total Transplanted,276
AR,All Genders,Heart,Total Transplanted,19
AZ,All Genders,Heart,Total Transplanted,45
AL,All Genders,Heart,Total Transplanted,27
WI,All Genders,Lung,Total Transplanted,55
WA,All Genders,Lung,Total Transplanted,58
VA,All Genders,Lung,Total Transplanted,52
UT,All Genders,Lung,Total Transplanted,26
TX,All Genders,Lung,Total Transplanted,335
TN,All Genders,Lung,Total Transplanted,102
SC,All Genders,Lung,Total Transplanted,43
PR,All Genders,Lung,Total Transplanted,36
PA,All Genders,Lung,Total Transplanted,164
OR,All Genders,Lung,Total Transplanted,27
OK,All Genders,Lung,Total Transplanted,44
OH,All Genders,Lung,Total Transplanted,108
NC,All Genders,Lung,Total Transplanted,130
NY,All Genders,Lung,Total Transplanted,51
NM,All Genders,Lung,Total Transplanted,8
NJ,All Genders,Lung,Total Transplanted,38
NV,All Genders,Lung,Total Transplanted,28
NE,All Genders,Lung,Total Transplanted,12
MO,All Genders,Lung,Total Transplanted,128
MS,All Genders,Lung,Total Transplanted,31
MN,All Genders,Lung,Total Transplanted,54
