"","COUNTY","CTYNAME","CENSUS2000POP","ESTIMATESBASE2000","2000","2001","2002","2003","2004","2005","2006","2007"
"22033",22033,"East Baton Rouge",6256,6256,6321,7.81521911090017,6.52971386647102,6.11570247933884,7.35981308411215,4.60645629307218,10.3906611188165,5.38163543084494
"22035",22035,"East Carroll",69,69,69,0,0,4.34782608695652,0,0,0,0
"22037",22037,"East Feliciana",100,100,104,6.73076923076923,10.8108108108108,0,4.8780487804878,0.775193798449612,6.15384615384615,2.17391304347826
"22039",22039,"Evangeline",247,247,247,2.02429149797571,3.57142857142857,0.383141762452107,11.4503816793893,6.16438356164384,2.90322580645161,5.01567398119122
"22041",22041,"Franklin",114,114,116,1.72413793103448,3.38983050847458,0,1.63934426229508,3.2258064516129,2.34375,3.05343511450382
"22043",22043,"Grant",176,176,176,5.11363636363636,4.86486486486486,0,3.60824742268041,4.47761194029851,2.38095238095238,1.86046511627907
"22045",22045,"Iberia",868,868,873,3.55097365406644,4.64601769911504,7.39957716701903,5.70866141732283,3.63128491620112,2.33602875112309,5.88235294117647
"22047",22047,"Iberville",242,242,253,3.95256916996047,3.04182509505703,2.2140221402214,3.24909747292419,1.74825174825175,6.87285223367698,1.60771704180064
"22049",22049,"Jackson",82,82,82,24.390243902439,10.7843137254902,11.5044247787611,3.17460317460317,4.61538461538461,3.67647058823529,2.12765957446809
"22051",22051,"Jefferson",30226,30226,30410,3.09108845774416,3.23763955342903,2.61702456357176,3.48368059737444,2.76120922924729,-4.07440964947052,6.50845656601435
"22053",22053,"Jefferson Davis",275,275,281,3.55871886120996,6.18556701030928,-0.323624595469256,1.29870129870130,7.05128205128205,2.09580838323353,4.39882697947214
"22055",22055,"Lafayette",2953,2952,2978,4.33176628609805,5.40714515609913,6.16793893129771,6.21225194132873,7.71730300568643,7.114127702363,6.73550809669092
"22057",22057,"Lafourche",1117,1117,1117,3.13339301700985,12.6736111111111,6.54853620955316,4.41070137382502,4.98614958448753,7.58575197889182,5.5793991416309
"22059",22059,"La Salle",102,102,110,3.63636363636364,1.75438596491228,0.862068965517241,0.854700854700855,1.69491525423729,2.5,-0.8130081300813
"22061",22061,"Lincoln",368,368,383,14.8825065274151,9.54545454545454,5.60165975103734,4.91159135559921,6.17977528089888,2.82186948853616,3.08747855917667
"22063",22063,"Livingston",953,953,958,13.6743215031315,7.07070707070707,8.66209262435678,12.0757695343331,5.98591549295775,14.6179401993355,13.1014492753623
"22065",22065,"Madison",178,178,178,0,4.49438202247191,-0.537634408602151,0,0.540540540540541,1.07526881720430,1.06382978723404
"22067",22067,"Morehouse",118,118,118,25.4237288135593,0.675675675675676,7.38255033557047,4.375,2.39520958083832,1.75438596491228,2.29885057471264
"22069",22069,"Natchitoches",392,392,401,2.74314214463840,3.15533980582524,0.941176470588235,6.29370629370629,1.53508771929825,2.37580993520518,1.05485232067511
"22071",22071,"Orleans",10538,10538,10625,2.47529411764706,1.79096252755327,1.89479382838582,-0.115115558310458,0.452127659574468,-44.5326979083929,18.2975338106603
"22073",22073,"Ouachita",1409,1409,1432,6.21508379888268,9.9276791584484,5.44258373205742,4.65116279069767,3.08943089430894,9.14826498422713,1.78227360308285
"22075",22075,"Plaquemines",362,362,392,19.3877551020408,8.33333333333333,14.5956607495069,18.0722891566265,11.2244897959184,-22.0183486238532,4.20168067226891
"22077",22077,"Pointe Coupee",187,187,187,2.67379679144385,6.25,3.43137254901961,2.84360189573460,2.76497695852535,5.82959641255605,4.66101694915254
"22079",22079,"Rapides",1450,1450,1449,13.3195307108351,6.02923264311815,5.22688110281447,8.13318777292576,7.87481070166583,5.19419747309312,5.56049822064057
"22081",22081,"Red River",47,47,47,2.12765957446809,0,0,0,2.08333333333333,0,4.08163265306122
"22083",22083,"Richland",170,170,201,1.99004975124378,4.8780487804878,2.79069767441860,3.61990950226244,0.436681222707424,7.82608695652174,0.806451612903226
"22085",22085,"Sabine",401,401,400,7.25,9.55710955710956,3.19148936170213,1.23711340206186,5.70264765784114,2.3121387283237,1.12994350282486
"22087",22087,"St. Bernard",3222,3222,3233,0.0618620476337767,-0.123647604327666,1.17610646858558,1.00948302233099,0.817686250757117,-71.312706518474,46.3874345549738
"22089",22089,"St. Charles",1214,1214,1217,2.8759244042728,8.86581469648562,4.25531914893617,4.43349753694581,4.17789757412399,11.4489003880983,4.12071967498549
"22091",22091,"St. Helena",60,60,60,6.66666666666667,101.5625,1.55038759689922,0.763358778625954,2.27272727272727,1.48148148148148,4.37956204379562
"22093",22093,"St. James",89,89,95,5.26315789473684,14,26.3157894736842,4.16666666666667,2.66666666666667,18.1818181818182,2.19780219780220
"22095",22095,"St. John the Baptist",1079,1079,1106,9.3128390596745,4.13564929693962,5.40111199364575,10.4747550866616,10.5729877216917,11.9062307217767,4.29988974641676
"22097",22097,"St. Landry",542,542,548,2.91970802919708,11.1702127659574,2.39234449760766,3.42679127725857,4.21686746987952,11.1271676300578,1.30039011703511
"22099",22099,"St. Martin",300,300,300,9,6.42201834862385,4.59770114942529,1.64835164835165,1.35135135135135,24,1.07526881720430
"22101",22101,"St. Mary",992,992,993,2.7190332326284,8.0392156862745,4.90018148820327,5.19031141868512,0.328947368421053,4.67213114754098,4.93343774471417
"22103",22103,"St. Tammany",4356,4356,4415,6.40996602491506,9.38697318007663,7.62794317960693,7.66588320376062,10.5457598656591,8.7042381892754,6.03689211850196
"22105",22105,"Tangipahoa",1298,1298,1299,7.92917628945343,4.56490727532097,8.59481582537517,2.44974874371859,5.64071122011036,18.4561810795125,5.68348848603626
"22107",22107,"Tensas",50,50,51,23.5294117647059,7.93650793650794,7.35294117647059,6.84931506849315,8.97435897435897,5.88235294117647,6.66666666666667
"22109",22109,"Terrebonne",1380,1380,1393,7.32232591529074,5.01672240802676,4.52229299363057,7.55636806825107,8.44192634560907,11.5464994775340,5.99531615925059
"22111",22111,"Union",409,409,406,9.35960591133005,8.33333333333333,8.93970893970894,5.15267175572519,5.26315789473684,9.13793103448276,5.21327014218009
"22113",22113,"Vermilion",605,606,608,12.0065789473684,7.34214390602056,1.50478796169631,7.00808625336927,4.53400503778338,13.0120481927711,6.82302771855011
"22115",22115,"Vernon",2482,2482,2495,6.65330661322645,6.95227358136039,4.14617006324666,2.63157894736842,8.05391190006575,-2.70763614237907,4.53408380237649
"22117",22117,"Washington",248,248,259,17.7606177606178,2.95081967213115,0.318471337579618,2.53968253968254,8.97832817337461,1.98863636363636,20.0557103064067
"22119",22119,"Webster",265,265,267,5.61797752808989,12.0567375886525,5.37974683544304,2.10210210210210,3.52941176470588,13.3522727272727,2.25563909774436
"22121",22121,"West Baton Rouge",283,283,302,9.27152317880795,3.63636363636364,5.26315789473684,3.61111111111111,2.41286863270777,5.23560209424084,12.1890547263682
"22123",22123,"West Carroll",154,154,154,2.59740259740260,5.06329113924051,4.21686746987952,-0.578034682080925,1.16279069767442,4.59770114942529,2.19780219780220
"22125",22125,"West Feliciana",94,94,94,0,-1.06382978723404,1.07526881720430,0,10.6382978723404,1.92307692307692,1.88679245283019
"22127",22127,"Winn",120,120,122,0.819672131147541,0,2.4390243902439,0.793650793650794,0,2.36220472440945,6.92307692307692
