,Gender,Organ,Type,Value
DC,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
CT,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
CO,All Genders,All,Leading Death Mechanism,Blunt Injury
CA,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
AR,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
AZ,All Genders,All,Leading Death Mechanism,Blunt Injury
AL,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
WI,All Genders,All,Donors,192
WA,All Genders,All,Donors,176
VA,All Genders,All,Donors,179
UT,All Genders,All,Donors,83
TX,All Genders,All,Donors,656
TN,All Genders,All,Donors,301
SC,All Genders,All,Donors,103
PR,All Genders,All,Donors,105
PA,All Genders,All,Donors,611
OR,All Genders,All,Donors,75
OK,All Genders,All,Donors,94
OH,All Genders,All,Donors,297
NC,All Genders,All,Donors,299
NY,All Genders,All,Donors,358
NM,All Genders,All,Donors,34
NJ,All Genders,All,Donors,139
NV,All Genders,All,Donors,75
NE,All Genders,All,Donors,40
MO,All Genders,All,Donors,165
MS,All Genders,All,Donors,76
MN,All Genders,All,Donors,153
MI,All Genders,All,Donors,261
MA,All Genders,All,Donors,217
MD,All Genders,All,Donors,142
LA,All Genders,All,Donors,170
KY,All Genders,All,Donors,88
KS,All Genders,All,Donors,209
IA,All Genders,All,Donors,60
IN,All Genders,All,Donors,154
IL,All Genders,All,Donors,270
HI,All Genders,All,Donors,57
GA,All Genders,All,Donors,269
FL,All Genders,All,Donors,554
DC,All Genders,All,Donors,132
CT,All Genders,All,Donors,42
CO,All Genders,All,Donors,126
CA,All Genders,All,Donors,861
AR,All Genders,All,Donors,67
AZ,All Genders,All,Donors,143
AL,All Genders,All,Donors,110
WI,All Genders,All,Recovered,668
WA,All Genders,All,Recovered,624
VA,All Genders,All,Recovered,599
UT,All Genders,All,Recovered,279
TX,All Genders,All,Recovered,2357
TN,All Genders,All,Recovered,1088
SC,All Genders,All,Recovered,385
PR,All Genders,All,Recovered,359
PA,All Genders,All,Recovered,2102
OR,All Genders,All,Recovered,271
OK,All Genders,All,Recovered,360
OH,All Genders,All,Recovered,1067
NC,All Genders,All,Recovered,1060
NY,All Genders,All,Recovered,1093
NM,All Genders,All,Recovered,106
NJ,All Genders,All,Recovered,451
NV,All Genders,All,Recovered,274
NE,All Genders,All,Recovered,139
MO,All Genders,All,Recovered,618
MS,All Genders,All,Recovered,286
MN,All Genders,All,Recovered,553
MI,All Genders,All,Recovered,902
MA,All Genders,All,Recovered,732
MD,All Genders,All,Recovered,533
LA,All Genders,All,Recovered,618
KY,All Genders,All,Recovered,317
KS,All Genders,All,Recovered,721
IA,All Genders,All,Recovered,213
IN,All Genders,All,Recovered,609
IL,All Genders,All,Recovered,925
HI,All Genders,All,Recovered,156
GA,All Genders,All,Recovered,922
FL,All Genders,All,Recovered,1957
DC,All Genders,All,Recovered,421
CT,All Genders,All,Recovered,156
CO,All Genders,All,Recovered,449
CA,All Genders,All,Recovered,3115
AR,All Genders,All,Recovered,241
AZ,All Genders,All,Recovered,511
AL,All Genders,All,Recovered,365
WI,All Genders,Kidney,Recovered,354
WA,All Genders,Kidney,Recovered,342
VA,All Genders,Kidney,Recovered,335
UT,All Genders,Kidney,Recovered,160
TX,All Genders,Kidney,Recovered,1157
TN,All Genders,Kidney,Recovered,558
SC,All Genders,Kidney,Recovered,189
PR,All Genders,Kidney,Recovered,184
PA,All Genders,Kidney,Recovered,1081
OR,All Genders,Kidney,Recovered,144
OK,All Genders,Kidney,Recovered,182
OH,All Genders,Kidney,Recovered,547
NC,All Genders,Kidney,Recovered,548
NY,All Genders,Kidney,Recovered,593
NM,All Genders,Kidney,Recovered,64
NJ,All Genders,Kidney,Recovered,264
NV,All Genders,Kidney,Recovered,146
NE,All Genders,Kidney,Recovered,76
MO,All Genders,Kidney,Recovered,278
MS,All Genders,Kidney,Recovered,145
MN,All Genders,Kidney,Recovered,285
MI,All Genders,Kidney,Recovered,478
MA,All Genders,Kidney,Recovered,409
MD,All Genders,Kidney,Recovered,257
LA,All Genders,Kidney,Recovered,279
KY,All Genders,Kidney,Recovered,170
KS,All Genders,Kidney,Recovered,376
IA,All Genders,Kidney,Recovered,116
IN,All Genders,Kidney,Recovered,291
IL,All Genders,Kidney,Recovered,483
HI,All Genders,Kidney,Recovered,110
GA,All Genders,Kidney,Recovered,417
FL,All Genders,Kidney,Recovered,993
DC,All Genders,Kidney,Recovered,213
CT,All Genders,Kidney,Recovered,82
CO,All Genders,Kidney,Recovered,236
CA,All Genders,Kidney,Recovered,1629
AR,All Genders,Kidney,Recovered,122
AZ,All Genders,Kidney,Recovered,265
AL,All Genders,Kidney,Recovered,196
WI,All Genders,Pancreas,Recovered,0
WA,All Genders,Pancreas,Recovered,11
VA,All Genders,Pancreas,Recovered,2
UT,All Genders,Pancreas,Recovered,31
TX,All Genders,Pancreas,Recovered,23
TN,All Genders,Pancreas,Recovered,8
SC,All Genders,Pancreas,Recovered,1
PR,All Genders,Pancreas,Recovered,0
PA,All Genders,Pancreas,Recovered,87
OR,All Genders,Pancreas,Recovered,10
OK,All Genders,Pancreas,Recovered,20
OH,All Genders,Pancreas,Recovered,66
NC,All Genders,Pancreas,Recovered,56
NY,All Genders,Pancreas,Recovered,46
NM,All Genders,Pancreas,Recovered,2
NJ,All Genders,Pancreas,Recovered,19
NV,All Genders,Pancreas,Recovered,14
NE,All Genders,Pancreas,Recovered,9
MO,All Genders,Pancreas,Recovered,22
MS,All Genders,Pancreas,Recovered,9
MN,All Genders,Pancreas,Recovered,34
MI,All Genders,Pancreas,Recovered,41
MA,All Genders,Pancreas,Recovered,40
MD,All Genders,Pancreas,Recovered,39
LA,All Genders,Pancreas,Recovered,41
KY,All Genders,Pancreas,Recovered,13
KS,All Genders,Pancreas,Recovered,43
IA,All Genders,Pancreas,Recovered,14
IN,All Genders,Pancreas,Recovered,49
IL,All Genders,Pancreas,Recovered,83
HI,All Genders,Pancreas,Recovered,8
GA,All Genders,Pancreas,Recovered,41
FL,All Genders,Pancreas,Recovered,91
DC,All Genders,Pancreas,Recovered,21
CT,All Genders,Pancreas,Recovered,11
CO,All Genders,Pancreas,Recovered,23
CA,All Genders,Pancreas,Recovered,141
AR,All Genders,Pancreas,Recovered,6
AZ,All Genders,Pancreas,Recovered,24
AL,All Genders,Pancreas,Recovered,20
WI,All Genders,Liver,Recovered,153
WA,All Genders,Liver,Recovered,136
VA,All Genders,Liver,Recovered,149
UT,All Genders,Liver,Recovered,53
TX,All Genders,Liver,Recovered,511
TN,All Genders,Liver,Recovered,265
SC,All Genders,Liver,Recovered,96
PR,All Genders,Liver,Recovered,89
PA,All Genders,Liver,Recovered,536
OR,All Genders,Liver,Recovered,65
OK,All Genders,Liver,Recovered,78
OH,All Genders,Liver,Recovered,245
NC,All Genders,Liver,Recovered,220
NY,All Genders,Liver,Recovered,293
NM,All Genders,Liver,Recovered,25
NJ,All Genders,Liver,Recovered,89
NV,All Genders,Liver,Recovered,62
NE,All Genders,Liver,Recovered,34
MO,All Genders,Liver,Recovered,140
MS,All Genders,Liver,Recovered,69
MN,All Genders,Liver,Recovered,131
MI,All Genders,Liver,Recovered,187
MA,All Genders,Liver,Recovered,158
MD,All Genders,Liver,Recovered,122
LA,All Genders,Liver,Recovered,162
KY,All Genders,Liver,Recovered,75
KS,All Genders,Liver,Recovered,148
IA,All Genders,Liver,Recovered,45
IN,All Genders,Liver,Recovered,136
IL,All Genders,Liver,Recovered,204
HI,All Genders,Liver,Recovered,34
GA,All Genders,Liver,Recovered,242
FL,All Genders,Liver,Recovered,478
DC,All Genders,Liver,Recovered,109
CT,All Genders,Liver,Recovered,37
CO,All Genders,Liver,Recovered,103
CA,All Genders,Liver,Recovered,672
AR,All Genders,Liver,Recovered,62
AZ,All Genders,Liver,Recovered,120
AL,All Genders,Liver,Recovered,97
WI,All Genders,Intestine,Recovered,2
WA,All Genders,Intestine,Recovered,1
VA,All Genders,Intestine,Recovered,3
UT,All Genders,Intestine,Recovered,3
TX,All Genders,Intestine,Recovered,5
TN,All Genders,Intestine,Recovered,8
SC,All Genders,Intestine,Recovered,2
PR,All Genders,Intestine,Recovered,0
PA,All Genders,Intestine,Recovered,4
OR,All Genders,Intestine,Recovered,0
OK,All Genders,Intestine,Recovered,3
OH,All Genders,Intestine,Recovered,1
NC,All Genders,Intestine,Recovered,4
NY,All Genders,Intestine,Recovered,6
NM,All Genders,Intestine,Recovered,0
NJ,All Genders,Intestine,Recovered,0
NV,All Genders,Intestine,Recovered,4
NE,All Genders,Intestine,Recovered,0
MO,All Genders,Intestine,Recovered,1
MS,All Genders,Intestine,Recovered,2
MN,All Genders,Intestine,Recovered,2
MI,All Genders,Intestine,Recovered,6
MA,All Genders,Intestine,Recovered,3
MD,All Genders,Intestine,Recovered,0
LA,All Genders,Intestine,Recovered,3
KY,All Genders,Intestine,Recovered,2
KS,All Genders,Intestine,Recovered,1
IA,All Genders,Intestine,Recovered,2
IN,All Genders,Intestine,Recovered,12
IL,All Genders,Intestine,Recovered,7
HI,All Genders,Intestine,Recovered,0
GA,All Genders,Intestine,Recovered,4
FL,All Genders,Intestine,Recovered,13
DC,All Genders,Intestine,Recovered,0
CT,All Genders,Intestine,Recovered,0
CO,All Genders,Intestine,Recovered,1
CA,All Genders,Intestine,Recovered,8
AR,All Genders,Intestine,Recovered,0
AZ,All Genders,Intestine,Recovered,0
AL,All Genders,Intestine,Recovered,1
WI,All Genders,Heart,Recovered,52
WA,All Genders,Heart,Recovered,59
VA,All Genders,Heart,Recovered,38
UT,All Genders,Heart,Recovered,29
TX,All Genders,Heart,Recovered,236
TN,All Genders,Heart,Recovered,92
SC,All Genders,Heart,Recovered,36
PR,All Genders,Heart,Recovered,24
PA,All Genders,Heart,Recovered,159
OR,All Genders,Heart,Recovered,25
OK,All Genders,Heart,Recovered,32
OH,All Genders,Heart,Recovered,95
NC,All Genders,Heart,Recovered,80
NY,All Genders,Heart,Recovered,99
NM,All Genders,Heart,Recovered,6
NJ,All Genders,Heart,Recovered,37
NV,All Genders,Heart,Recovered,20
NE,All Genders,Heart,Recovered,8
MO,All Genders,Heart,Recovered,48
MS,All Genders,Heart,Recovered,27
MN,All Genders,Heart,Recovered,47
MI,All Genders,Heart,Recovered,87
MA,All Genders,Heart,Recovered,56
MD,All Genders,Heart,Recovered,42
LA,All Genders,Heart,Recovered,44
KY,All Genders,Heart,Recovered,23
KS,All Genders,Heart,Recovered,64
IA,All Genders,Heart,Recovered,18
IN,All Genders,Heart,Recovered,61
IL,All Genders,Heart,Recovered,76
HI,All Genders,Heart,Recovered,0
GA,All Genders,Heart,Recovered,95
FL,All Genders,Heart,Recovered,176
DC,All Genders,Heart,Recovered,26
CT,All Genders,Heart,Recovered,16
CO,All Genders,Heart,Recovered,48
CA,All Genders,Heart,Recovered,279
AR,All Genders,Heart,Recovered,19
AZ,All Genders,Heart,Recovered,45
AL,All Genders,Heart,Recovered,27
WI,All Genders,Lung,Recovered,55
WA,All Genders,Lung,Recovered,60
VA,All Genders,Lung,Recovered,53
UT,All Genders,Lung,Recovered,26
TX,All Genders,Lung,Recovered,338
TN,All Genders,Lung,Recovered,106
SC,All Genders,Lung,Recovered,47
PR,All Genders,Lung,Recovered,45
PA,All Genders,Lung,Recovered,235
OR,All Genders,Lung,Recovered,27
OK,All Genders,Lung,Recovered,45
OH,All Genders,Lung,Recovered,113
NC,All Genders,Lung,Recovered,152
NY,All Genders,Lung,Recovered,56
NM,All Genders,Lung,Recovered,9
NJ,All Genders,Lung,Recovered,42
NV,All Genders,Lung,Recovered,28
NE,All Genders,Lung,Recovered,12
MO,All Genders,Lung,Recovered,129
MS,All Genders,Lung,Recovered,34
MN,All Genders,Lung,Recovered,54
MI,All Genders,Lung,Recovered,103
MA,All Genders,Lung,Recovered,66
MD,All Genders,Lung,Recovered,73
LA,All Genders,Lung,Recovered,89
KY,All Genders,Lung,Recovered,34
KS,All Genders,Lung,Recovered,89
IA,All Genders,Lung,Recovered,18
IN,All Genders,Lung,Recovered,60
IL,All Genders,Lung,Recovered,72
HI,All Genders,Lung,Recovered,4
GA,All Genders,Lung,Recovered,123
FL,All Genders,Lung,Recovered,206
DC,All Genders,Lung,Recovered,52
CT,All Genders,Lung,Recovered,10
CO,All Genders,Lung,Recovered,38
CA,All Genders,Lung,Recovered,386
AR,All Genders,Lung,Recovered,32
AZ,All Genders,Lung,Recovered,57
AL,All Genders,Lung,Recovered,24
WI,All Genders,All,Transplanted,559
WA,All Genders,All,Transplanted,525
VA,All Genders,All,Transplanted,476
UT,All Genders,All,Transplanted,259
TX,All Genders,All,Transplanted,2061
TN,All Genders,All,Transplanted,899
SC,All Genders,All,Transplanted,331
PR,All Genders,All,Transplanted,293
PA,All Genders,All,Transplanted,1569
OR,All Genders,All,Transplanted,249
OK,All Genders,All,Transplanted,323
OH,All Genders,All,Transplanted,953
NC,All Genders,All,Transplanted,868
NY,All Genders,All,Transplanted,956
NM,All Genders,All,Transplanted,89
NJ,All Genders,All,Transplanted,378
NV,All Genders,All,Transplanted,234
NE,All Genders,All,Transplanted,130
MO,All Genders,All,Transplanted,556
MS,All Genders,All,Transplanted,249
MN,All Genders,All,Transplanted,465
MI,All Genders,All,Transplanted,775
MA,All Genders,All,Transplanted,635
MD,All Genders,All,Transplanted,431
LA,All Genders,All,Transplanted,556
KY,All Genders,All,Transplanted,274
KS,All Genders,All,Transplanted,626
IA,All Genders,All,Transplanted,189
IN,All Genders,All,Transplanted,530
IL,All Genders,All,Transplanted,800
HI,All Genders,All,Transplanted,116
GA,All Genders,All,Transplanted,821
FL,All Genders,All,Transplanted,1751
DC,All Genders,All,Transplanted,356
CT,All Genders,All,Transplanted,138
CO,All Genders,All,Transplanted,390
CA,All Genders,All,Transplanted,2787
AR,All Genders,All,Transplanted,205
AZ,All Genders,All,Transplanted,438
AL,All Genders,All,Transplanted,317
WI,All Genders,Kidney,Transplanted,285
WA,All Genders,Kidney,Transplanted,294
VA,All Genders,Kidney,Transplanted,248
UT,All Genders,Kidney,Transplanted,144
TX,All Genders,Kidney,Transplanted,924
TN,All Genders,Kidney,Transplanted,407
SC,All Genders,Kidney,Transplanted,154
PR,All Genders,Kidney,Transplanted,134
PA,All Genders,Kidney,Transplanted,789
OR,All Genders,Kidney,Transplanted,131
OK,All Genders,Kidney,Transplanted,164
OH,All Genders,Kidney,Transplanted,456
NC,All Genders,Kidney,Transplanted,427
NY,All Genders,Kidney,Transplanted,491
NM,All Genders,Kidney,Transplanted,50
NJ,All Genders,Kidney,Transplanted,213
NV,All Genders,Kidney,Transplanted,116
NE,All Genders,Kidney,Transplanted,70
MO,All Genders,Kidney,Transplanted,230
MS,All Genders,Kidney,Transplanted,121
MN,All Genders,Kidney,Transplanted,220
MI,All Genders,Kidney,Transplanted,373
MA,All Genders,Kidney,Transplanted,352
MD,All Genders,Kidney,Transplanted,194
LA,All Genders,Kidney,Transplanted,227
KY,All Genders,Kidney,Transplanted,135
KS,All Genders,Kidney,Transplanted,308
IA,All Genders,Kidney,Transplanted,101
IN,All Genders,Kidney,Transplanted,250
IL,All Genders,Kidney,Transplanted,394
HI,All Genders,Kidney,Transplanted,84
GA,All Genders,Kidney,Transplanted,339
FL,All Genders,Kidney,Transplanted,840
DC,All Genders,Kidney,Transplanted,176
CT,All Genders,Kidney,Transplanted,72
CO,All Genders,Kidney,Transplanted,203
CA,All Genders,Kidney,Transplanted,1406
AR,All Genders,Kidney,Transplanted,97
AZ,All Genders,Kidney,Transplanted,215
AL,All Genders,Kidney,Transplanted,157
WI,All Genders,Pancreas,Transplanted,40
WA,All Genders,Pancreas,Transplanted,17
VA,All Genders,Pancreas,Transplanted,17
UT,All Genders,Pancreas,Transplanted,7
TX,All Genders,Pancreas,Transplanted,89
TN,All Genders,Pancreas,Transplanted,44
SC,All Genders,Pancreas,Transplanted,12
PR,All Genders,Pancreas,Transplanted,15
PA,All Genders,Pancreas,Transplanted,49
OR,All Genders,Pancreas,Transplanted,10
OK,All Genders,Pancreas,Transplanted,13
OH,All Genders,Pancreas,Transplanted,59
NC,All Genders,Pancreas,Transplanted,30
NY,All Genders,Pancreas,Transplanted,34
NM,All Genders,Pancreas,Transplanted,1
NJ,All Genders,Pancreas,Transplanted,14
NV,All Genders,Pancreas,Transplanted,10
NE,All Genders,Pancreas,Transplanted,7
MO,All Genders,Pancreas,Transplanted,19
MS,All Genders,Pancreas,Transplanted,5
MN,All Genders,Pancreas,Transplanted,21
MI,All Genders,Pancreas,Transplanted,37
MA,All Genders,Pancreas,Transplanted,22
MD,All Genders,Pancreas,Transplanted,23
LA,All Genders,Pancreas,Transplanted,37
KY,All Genders,Pancreas,Transplanted,9
KS,All Genders,Pancreas,Transplanted,32
IA,All Genders,Pancreas,Transplanted,11
IN,All Genders,Pancreas,Transplanted,34
IL,All Genders,Pancreas,Transplanted,55
HI,All Genders,Pancreas,Transplanted,6
GA,All Genders,Pancreas,Transplanted,38
FL,All Genders,Pancreas,Transplanted,72
DC,All Genders,Pancreas,Transplanted,15
CT,All Genders,Pancreas,Transplanted,7
CO,All Genders,Pancreas,Transplanted,21
CA,All Genders,Pancreas,Transplanted,109
AR,All Genders,Pancreas,Transplanted,4
AZ,All Genders,Pancreas,Transplanted,18
AL,All Genders,Pancreas,Transplanted,16
WI,All Genders,Liver,Transplanted,126
WA,All Genders,Liver,Transplanted,97
VA,All Genders,Liver,Transplanted,119
UT,All Genders,Liver,Transplanted,50
TX,All Genders,Liver,Transplanted,474
TN,All Genders,Liver,Transplanted,247
SC,All Genders,Liver,Transplanted,85
PR,All Genders,Liver,Transplanted,84
PA,All Genders,Liver,Transplanted,414
OR,All Genders,Liver,Transplanted,56
OK,All Genders,Liver,Transplanted,67
OH,All Genders,Liver,Transplanted,234
NC,All Genders,Liver,Transplanted,199
NY,All Genders,Liver,Transplanted,275
NM,All Genders,Liver,Transplanted,24
NJ,All Genders,Liver,Transplanted,76
NV,All Genders,Liver,Transplanted,56
NE,All Genders,Liver,Transplanted,33
MO,All Genders,Liver,Transplanted,130
MS,All Genders,Liver,Transplanted,63
MN,All Genders,Liver,Transplanted,121
MI,All Genders,Liver,Transplanted,172
MA,All Genders,Liver,Transplanted,141
MD,All Genders,Liver,Transplanted,108
LA,All Genders,Liver,Transplanted,157
KY,All Genders,Liver,Transplanted,72
KS,All Genders,Liver,Transplanted,136
IA,All Genders,Liver,Transplanted,39
IN,All Genders,Liver,Transplanted,116
IL,All Genders,Liver,Transplanted,198
HI,All Genders,Liver,Transplanted,22
GA,All Genders,Liver,Transplanted,226
FL,All Genders,Liver,Transplanted,459
DC,All Genders,Liver,Transplanted,89
CT,All Genders,Liver,Transplanted,33
CO,All Genders,Liver,Transplanted,84
CA,All Genders,Liver,Transplanted,608
AR,All Genders,Liver,Transplanted,53
AZ,All Genders,Liver,Transplanted,106
AL,All Genders,Liver,Transplanted,92
WI,All Genders,Intestine,Transplanted,2
WA,All Genders,Intestine,Transplanted,1
VA,All Genders,Intestine,Transplanted,3
UT,All Genders,Intestine,Transplanted,3
TX,All Genders,Intestine,Transplanted,4
TN,All Genders,Intestine,Transplanted,8
SC,All Genders,Intestine,Transplanted,2
PR,All Genders,Intestine,Transplanted,0
PA,All Genders,Intestine,Transplanted,4
OR,All Genders,Intestine,Transplanted,0
OK,All Genders,Intestine,Transplanted,3
OH,All Genders,Intestine,Transplanted,1
NC,All Genders,Intestine,Transplanted,4
NY,All Genders,Intestine,Transplanted,6
NM,All Genders,Intestine,Transplanted,0
NJ,All Genders,Intestine,Transplanted,0
NV,All Genders,Intestine,Transplanted,4
NE,All Genders,Intestine,Transplanted,0
MO,All Genders,Intestine,Transplanted,1
MS,All Genders,Intestine,Transplanted,2
MN,All Genders,Intestine,Transplanted,2
MI,All Genders,Intestine,Transplanted,6
MA,All Genders,Intestine,Transplanted,3
MD,All Genders,Intestine,Transplanted,0
LA,All Genders,Intestine,Transplanted,3
KY,All Genders,Intestine,Transplanted,2
KS,All Genders,Intestine,Transplanted,1
IA,All Genders,Intestine,Transplanted,2
IN,All Genders,Intestine,Transplanted,10
IL,All Genders,Intestine,Transplanted,6
HI,All Genders,Intestine,Transplanted,0
GA,All Genders,Intestine,Transplanted,4
FL,All Genders,Intestine,Transplanted,10
DC,All Genders,Intestine,Transplanted,0
CT,All Genders,Intestine,Transplanted,0
CO,All Genders,Intestine,Transplanted,1
CA,All Genders,Intestine,Transplanted,7
AR,All Genders,Intestine,Transplanted,0
AZ,All Genders,Intestine,Transplanted,0
AL,All Genders,Intestine,Transplanted,1
WI,All Genders,Heart,Transplanted,51
WA,All Genders,Heart,Transplanted,58
VA,All Genders,Heart,Transplanted,37
UT,All Genders,Heart,Transplanted,29
TX,All Genders,Heart,Transplanted,235
TN,All Genders,Heart,Transplanted,91
SC,All Genders,Heart,Transplanted,35
PR,All Genders,Heart,Transplanted,24
PA,All Genders,Heart,Transplanted,149
OR,All Genders,Heart,Transplanted,25
OK,All Genders,Heart,Transplanted,32
OH,All Genders,Heart,Transplanted,95
NC,All Genders,Heart,Transplanted,78
NY,All Genders,Heart,Transplanted,99
NM,All Genders,Heart,Transplanted,6
NJ,All Genders,Heart,Transplanted,37
NV,All Genders,Heart,Transplanted,20
NE,All Genders,Heart,Transplanted,8
MO,All Genders,Heart,Transplanted,48
MS,All Genders,Heart,Transplanted,27
MN,All Genders,Heart,Transplanted,47
MI,All Genders,Heart,Transplanted,86
MA,All Genders,Heart,Transplanted,55
MD,All Genders,Heart,Transplanted,40
LA,All Genders,Heart,Transplanted,44
KY,All Genders,Heart,Transplanted,23
KS,All Genders,Heart,Transplanted,64
IA,All Genders,Heart,Transplanted,18
IN,All Genders,Heart,Transplanted,61
IL,All Genders,Heart,Transplanted,76
HI,All Genders,Heart,Transplanted,0
GA,All Genders,Heart,Transplanted,95
FL,All Genders,Heart,Transplanted,174
DC,All Genders,Heart,Transplanted,24
CT,All Genders,Heart,Transplanted,16
CO,All Genders,Heart,Transplanted,47
CA,All Genders,Heart,Transplanted,276
AR,All Genders,Heart,Transplanted,19
AZ,All Genders,Heart,Transplanted,45
AL,All Genders,Heart,Transplanted,27
WI,All Genders,Lung,Transplanted,55
WA,All Genders,Lung,Transplanted,58
VA,All Genders,Lung,Transplanted,52
UT,All Genders,Lung,Transplanted,26
TX,All Genders,Lung,Transplanted,335
TN,All Genders,Lung,Transplanted,102
SC,All Genders,Lung,Transplanted,43
PR,All Genders,Lung,Transplanted,36
PA,All Genders,Lung,Transplanted,164
OR,All Genders,Lung,Transplanted,27
OK,All Genders,Lung,Transplanted,44
OH,All Genders,Lung,Transplanted,108
NC,All Genders,Lung,Transplanted,130
NY,All Genders,Lung,Transplanted,51
NM,All Genders,Lung,Transplanted,8
NJ,All Genders,Lung,Transplanted,38
NV,All Genders,Lung,Transplanted,28
NE,All Genders,Lung,Transplanted,12
MO,All Genders,Lung,Transplanted,128
MS,All Genders,Lung,Transplanted,31
MN,All Genders,Lung,Transplanted,54
MI,All Genders,Lung,Transplanted,101
MA,All Genders,Lung,Transplanted,62
MD,All Genders,Lung,Transplanted,66
LA,All Genders,Lung,Transplanted,88
KY,All Genders,Lung,Transplanted,33
KS,All Genders,Lung,Transplanted,85
IA,All Genders,Lung,Transplanted,18
IN,All Genders,Lung,Transplanted,59
IL,All Genders,Lung,Transplanted,71
HI,All Genders,Lung,Transplanted,4
GA,All Genders,Lung,Transplanted,119
FL,All Genders,Lung,Transplanted,196
DC,All Genders,Lung,Transplanted,52
CT,All Genders,Lung,Transplanted,10
CO,All Genders,Lung,Transplanted,34
CA,All Genders,Lung,Transplanted,381
AR,All Genders,Lung,Transplanted,32
AZ,All Genders,Lung,Transplanted,54
AL,All Genders,Lung,Transplanted,24
