,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,perCapInc,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,PersPerFam,PctFam2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,PctKidsBornNeverMar,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccMedVal,OwnOccQrange,RentMedian,RentQrange,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,ViolentCrimesPerPop
13,40641,2.54,12.18,86.39,1.12,0.68,21.51,36.83,23.96,11.5,0,20043,75.23,1.24,34.02,27.11,9.6,13.84,11760,6016,6636,9119,1982,16133,23.91,15.28,28.52,6.93,58.62,16.08,29.05,15.13,27.47,10.16,39.19,13.43,2.92,64.6,71.28,67.77,58.45,68.49,3.56,33.23,49.52,53.51,59.74,0.51,96.72,0.59,2.99,2.29,2.4,2.17,53.11,2.49,53.27,2,1528,91.27,1.51,28.93,1966,10.67,0.23,58200,44300,267,136,27.9,20,12.3,1.54,70.53,41.51,72.68,88.87,30,1354.2,0.28,798.39
14,57140,2.74,53.52,45.65,0.49,0.43,16.51,28.17,14.68,13.38,100,19143,69.31,0.63,24.41,33.46,13.58,14.16,9530,5688,7669,12183,23509,10718,27.71,14.49,34.5,11.05,51.37,17.94,27.79,18.07,22.71,10.92,30.7,14.18,3.26,58.65,63.07,59.7,64.38,70.59,8.51,26.04,32.43,34.15,39.31,0.19,96.83,0.54,7.86,2.64,2.64,2.65,61.62,5.43,46.91,3,2318,90,4.06,39.65,1964,11.65,0.73,41200,31800,219,135,29.1,17.5,15.7,0.71,80.16,56.01,85.46,92.02,43.9,1301.5,0.93,1476.93
17,45532,2.85,2.65,95.72,1.04,2.28,11.86,27.51,12.36,9.76,96.51,44635,84.94,0.71,50.24,24.74,3.78,18.37,16723,8297,13171,12425,10337,11655,2.89,6.55,21.62,4.01,68.24,26.12,16.06,13.94,24.73,7.02,32.45,9.76,3.13,81.96,91.04,80.39,63.59,75.19,1.3,9.38,11.7,17.12,27.01,0.49,90.41,0.92,4.08,2.73,2.86,2.29,79.94,1.23,32.43,3,629,96.21,0.16,29.89,1960,0.89,0.13,143400,36700,563,282,24.8,22.6,13.1,5.22,47.43,60.3,83.68,88.85,34.6,1314.3,1.28,89.94
18,180038,2.62,1.3,74.02,14.14,20.96,12.04,26.68,12.37,11.54,100,34372,76.17,0.62,40.04,20.3,11.27,11.51,17966,17693,20931,16696,9438,11182,14.37,11.54,22.83,6.95,60.04,14.43,24.78,9.07,33.09,8.68,34.45,13.33,3.22,77.1,86.01,79.01,52.45,59.33,2.62,30.33,41.41,50.77,60.4,13.71,46.84,15.46,6.98,2.59,2.63,2.56,39.38,18.31,75.17,2,3510,95.13,2.25,17.69,1962,1.53,0.46,343600,220000,626,252,30.5,25.3,11.6,45.19,29.68,37.69,73.29,76.85,31.7,5677.3,4.15,374.07
19,14869,2.67,2.28,94.74,2.67,0.74,13.71,20.33,9.48,12.38,100,49851,81.88,0.89,69.45,23.77,1.59,19.47,22647,12964,15565,22630,9548,7828,2.35,1.33,5.95,2.57,66.85,10.06,43.92,2.33,53.3,5.73,22.37,11.09,3.01,82.5,94.94,78,64.94,72.84,0.74,11.79,16.19,26.85,28.84,0.56,94.75,0.53,2.47,2.6,2.69,2.14,85.62,0.43,18.79,3,164,97.14,0.61,30.49,1963,0.18,0.21,117500,58900,394,199,24.6,18.7,11.4,4.73,58.81,59.75,85.21,89.74,5.8,2552.7,1.96,112.5
20,261721,2.6,8.41,82.64,3.92,8.91,14.18,32.78,15.14,4.58,100,35048,90.25,0.81,39.01,11.05,2.71,9.12,16239,11615,13416,11175,7804,9045,8.21,3.71,12.19,4.99,74.65,18.91,18.97,10.6,30.91,10.73,30.21,14.79,3.14,78.19,87.64,76.69,63.48,71.53,1.89,19.03,30.13,44.66,56.86,1.45,87.44,2.2,4.07,2.58,2.89,2.25,58,4.95,47.54,3,12116,89.26,1.81,27.45,1978,5.5,0.14,82800,46100,382,157,23.7,22,11.8,7.64,51.54,36.76,67.01,84.09,96.4,2716.3,0.14,772.77
22,7322564,2.6,28.71,52.26,7,24.36,13.06,27.46,13.09,11.62,100,29823,73.57,0.48,35.38,24.6,13.12,12.56,16281,10505,10861,12851,7151,8420,19.29,14.1,31.68,8.98,56.12,11.41,28.4,11.64,30.55,9.13,41,14.02,3.27,57.64,67.42,59.25,47.37,56.42,10.5,15.87,25.51,36.37,45.77,4.51,59.04,9.84,9.16,2.54,2.8,2.43,31.59,12.3,73.76,2,172768,94.23,4.83,40.33,1946,7.33,1.25,189600,94900,448,295,25.7,21.8,14.1,28.45,53.09,63.06,82.76,89.78,320.1,22878.2,54.33,2097.71
23,26436,3.34,18.97,53.6,20.84,10.73,16.16,37.22,19.09,4.13,100,29043,90.39,0.53,28.69,10.74,6.9,15.99,11338,10242,6333,9734,7196,8444,9.67,5.8,15.83,3.5,75.2,6.69,20.66,9.67,20.38,7.15,24.55,11.83,3.32,80.12,90.58,78.19,51.64,64.58,1.69,12.27,18.31,29.88,43.12,2.25,71.79,4.31,7.26,3.05,2.8,3.18,31.74,11.94,55.65,2,353,95.73,0.57,3.12,1976,1.62,0.24,172500,45700,607,177,31.6,23.3,12.3,18.34,24.24,26.33,46.38,54.52,9.1,2917.9,1.93,644.75
24,12183,2.36,0.41,97.55,1.55,0.91,11.29,26.87,12.2,11.28,0,32221,84.63,0.51,38.36,23.87,3.37,10.47,15012,12405,20559,7679,7826,11733,6.07,5.83,17.61,3.14,69.56,14.87,36.57,11.79,29.23,9.73,28.87,13.85,2.93,74.41,84.48,77.2,75.27,77.15,1.78,23.14,23.14,34.57,37.77,0.71,93.31,1.23,1.9,2.32,2.61,2.02,58.03,1.26,56.02,2,545,90.47,1.28,34.31,1957,3.83,0.79,117200,59500,451,196,26.1,23.7,13.7,3.09,54.87,42.07,69.61,75.44,41.8,291.4,0.75,145.2
25,16023,2.63,13.79,83.94,1.42,2.4,11.91,23.09,10.33,13.65,100,34934,80.47,0.3,47.11,27.98,2.74,23.43,15534,13246,9320,11052,9621,14449,5.75,4.07,14.21,5.39,64.92,18.44,24.03,9.88,32.44,10.45,23.08,13.36,2.96,77.22,82.62,75.63,67.95,75.78,1.41,10.38,12.4,19.68,23.72,0.48,93.6,0.75,3.74,2.58,2.61,2.45,78.92,2.26,29.4,3,437,93.31,1.14,29.52,1972,2.03,0.08,73900,30600,457,137,24.5,20.9,11.3,4.63,28.32,45.19,75.45,81.03,10.1,1581.4,0.58,560.71
26,24692,2.54,0.06,97.72,0.77,1.86,12.84,25.81,11.93,14.62,0,26198,73.97,1.36,42.1,31.04,3.92,16.09,12779,0,13934,12182,9809,9511,8.72,8.18,22.43,3.31,63.1,27.42,16.18,22.66,21.56,9.43,20.49,13.38,2.96,78.73,88.72,85.57,69.07,75.45,0.89,18.93,23.73,27.68,29.94,0.27,95.9,0.75,3.36,2.51,2.58,2.38,65.6,2.8,41.45,3,586,94.31,0.34,26.45,1976,8.04,0.4,60300,30700,302,121,24.8,19.6,11.7,1.43,40.4,39.82,70.19,77.43,23,1073.9,0,204.23
27,13842,2.35,0.41,94.65,1.98,7.95,8.23,18.3,6.98,13.57,100,45892,80.46,1.07,65.77,25.19,0.73,15.55,24462,12941,16625,36559,10485,12650,3.33,2.73,7.59,2.69,70.55,8.73,31.56,3.65,48.83,9.63,23.77,15.57,2.86,78.29,91.35,86.93,69.26,74.41,0.32,0.85,5.26,15.08,30.16,0.04,89.62,1.21,2.69,2.35,2.36,2.33,75.61,1.36,30.49,3,319,94.85,1.25,32.6,1953,0.87,0.24,108900,63100,529,187,20.2,18.5,12.1,5.08,60.71,57.14,86.99,94.36,3.7,3697.1,1.11,347.97
28,88693,2.7,2.92,87.36,2.82,13.97,13.77,30.92,15.15,9.65,100,28108,78.15,0.53,34.68,21.99,12.74,16.03,13518,9215,9266,9291,7746,8951,12.92,6.71,21.49,7.07,61.86,12.47,21.82,11.44,23.15,13.12,31.67,19.09,3.09,65.86,74.02,65.85,52.92,62.42,3.29,20.75,31.36,43.8,50.16,2.01,85.2,3.17,5.26,2.63,2.64,2.63,40.87,8.76,63.54,2,1560,95.47,1.47,11.03,1970,2.97,0.24,158000,81500,507,153,30.8,23.6,10.8,9.71,45.45,35.36,77.14,83.16,14.9,5943,2.17,894.51
29,11235,2.6,1.89,82.45,1.82,18.16,14.59,25.62,12.02,13.36,0,23258,72.45,1.78,34.4,27.62,10.28,16.58,10965,6562,18700,5910,6497,7045,15.28,12.99,26.49,6.5,57.18,18.92,22.82,16.52,24.61,10.96,24.93,13.25,3.12,75.49,84.59,76.77,61.08,71.15,1.84,27.63,30.07,38.71,40,1.71,83.37,2.94,5.93,2.55,2.71,2.29,66.4,4.87,47.7,3,321,93.07,2.18,38.94,1963,6.75,0.32,53900,34800,268,148,26.2,16.1,11.5,6.19,48.88,44.43,76.23,87.33,9.4,1189.1,0.09,1143.9
30,28259,2.86,42.15,56.94,0.52,0.5,16.26,28.79,13.83,9.53,100,22052,77.25,1.32,21.89,25.09,13.69,9.35,10009,5095,5019,15413,10764,9752,22.94,15.88,37.55,8.34,59.29,14.03,21.22,19.96,20.04,11.69,29.48,16.28,3.33,60.12,61.99,61.76,67.15,72.4,9.54,0,5.88,26.2,28.34,0,98.41,0.18,7.83,2.83,2.88,2.77,58.69,6.3,43.55,3,626,94.04,8.31,28.75,1967,12.35,1.08,50900,30200,248,163,29,20.5,14.1,0.66,53.03,52.14,82.37,88.6,14.9,1900.7,0.1,724.95
31,11162,2.8,26.96,72.26,0.4,0.78,15.43,26.03,12.04,12.78,0,14874,62.83,0.8,20.56,33.58,18.81,11.52,7635,3617,6319,39010,29572,7060,38.27,23.94,44.84,13.93,42.8,7.98,30.42,14.6,23.57,8.97,25.84,12.76,3.32,67.27,68.65,66.57,50.91,50.89,5.78,0,0,0,28,0,65.56,2.4,9,2.74,2.68,2.86,63.1,7.17,40.73,3,410,90.68,7.32,47.8,1963,14.35,0.64,39100,31900,165,112,28.6,23,15.3,0.22,93.09,62.57,89.93,98.48,4.8,2323.5,0.78,1487.34
32,122899,3.84,0.12,70.83,0.38,93.87,19.93,33.12,16.79,7.32,100,18395,79.18,1.17,18.24,22.73,16.71,7.95,6981,2922,5577,13361,5195,6331,37.29,36.26,51.16,11.24,51.36,5.4,23.07,14.83,21.99,6.18,32.64,10.95,4.16,75.51,84.14,75.33,48.23,52.73,2.8,14.07,21.62,29.66,39.74,3.43,8.15,21.64,21.34,3.78,3.95,3.54,61.58,26.43,53.73,2,1969,94.21,6.4,42.25,1972,12.42,2.11,52500,41300,245,178,27.6,22.6,12.8,24.37,67.12,60.11,86.08,91.7,34.1,3608.7,3.55,689.42
34,11856,3.03,0.37,98.84,0.4,0.45,20.11,31.45,19.01,8.63,33.1,36618,83.22,1.2,51.29,22.01,4.56,14.76,14049,10291,9093,11443,18000,6328,4.05,3.9,13.97,5.73,67.68,14.71,28.53,13.59,28.01,7.33,32.57,10.65,3.15,80.48,94.1,77.23,70.68,78.54,0.72,2.61,4.9,14.05,18.95,0.07,95.94,0.24,3.62,2.77,2.9,2.27,83.55,1.2,38.37,3,134,96.69,0,42.54,1968,1.17,0.71,119800,64900,452,201,28,23.5,12.6,2.58,71.76,51.97,79.39,91.47,52.5,225.9,0.88,16.72
35,19050,2.67,1.17,94.31,0.96,7.46,15.43,26.48,11.73,8.64,0,34372,83.58,1.11,40.93,20.87,5.74,12.84,14767,9288,12726,11497,8657,9016,8.87,5.6,17.5,5.13,67.09,7.72,19.53,14.84,21.27,11.57,25,12.21,3.22,78.88,85.49,86.8,59.43,68.72,1.06,0,0,0,3.06,0,93.22,0.61,5.33,2.65,2.81,2.31,71.4,2.83,46.05,3,929,88.47,7.53,52.42,1972,3.51,0.81,71800,34000,282,149,19,17.5,11.3,1.72,48.45,54.59,83.65,89.98,19.1,998.4,5.76,649.83
36,11961,2.71,0.24,88.57,1.11,17.04,13.37,26.84,13.03,12.98,0,27230,73.45,1.88,33.34,28.75,13.22,18.4,11994,17759,17930,8531,8032,8180,12.63,12.32,30.95,10.34,54.22,19.74,18.37,17.94,18.21,12.03,24.17,16.32,3.12,70.31,80.88,74.89,54.16,61.73,2.51,14.24,20.59,30.64,37.7,1.16,86.3,3.08,5.56,2.67,2.62,2.73,55.37,7.42,49.8,3,185,95.98,1.08,21.08,1972,3.3,0.11,108900,62000,395,182,28.7,21.4,12.4,8.16,62.95,39.82,76.72,94.06,4.2,2853.3,0,346.97
37,15655,2.6,52.88,46.59,0.19,0.54,14.42,26.09,12.94,15.02,0,18499,75,0.69,24.1,34.68,13.17,14.45,10912,6624,2500,34000,5120,6614,24.07,21.8,43.91,7.91,57.23,32.28,20.54,28.7,19.28,11.55,33.05,16.06,3.1,49.68,50.51,49.82,66.97,75.86,9.53,11.6,26.52,26.52,37.02,0.13,96.9,0.68,6.31,2.54,2.46,2.63,50.62,5.05,46.78,3,429,93.34,4.9,45.45,1960,12.61,1.45,50800,40600,180,133,29.5,18.5,13.9,1.15,81.21,57.15,86.06,91.66,7.3,2134,0.11,1770.94
38,23302,4.17,7.95,82.42,1.36,19.55,14.06,30.74,14.58,4.44,100,51594,88.74,2.55,38.24,17.3,5.92,12.75,15142,4590,6108,12843,9406,9872,5.34,4.93,24.25,5.1,48.14,21.21,14.52,14.49,23.72,8.43,42.59,12.03,3.49,82.9,88.3,80.68,48.57,57.79,3.46,6.76,16.87,18.66,33.19,0.48,84.6,2.25,10.56,3.27,3.29,3.19,82.83,6.06,22.51,3,193,96.66,3.63,26.42,1970,2.5,0.24,203400,106300,617,385,28.2,25.1,11.9,7.18,58.08,45.88,59.47,94.53,14.2,1641.4,0.27,609.81
39,45226,2.95,59.63,39.76,0.43,0.56,17.15,28.12,13.63,10.96,0,18060,71.26,0.58,20.33,30.07,18.48,11.31,9081,5359,2400,11710,6929,4936,31.96,18.51,38.54,12.45,51.79,19.98,25.33,19,23.16,11.72,35.15,14.97,3.49,52.47,56.12,54.33,67.29,73.08,12.32,19.6,32.8,44.4,44.4,0.11,97.37,0.21,11.3,2.91,2.89,2.93,57.98,9.73,45.71,3,1170,92.91,12.14,37.26,1965,11.02,0.83,42500,30900,207,163,32.3,21.1,15,0.55,84.59,59.55,88.62,93.77,27,1672.6,0.24,559.55
40,26167,2.37,0.94,91.3,6.07,6.46,9.03,19.36,8.48,14.25,100,54658,77.85,0.52,62.49,25.65,2.52,18.84,28161,27282,20295,23416,17992,20889,2.73,2.43,8.38,2.43,69.33,16.34,23.36,6.28,39.23,9.48,24.71,12.87,2.82,82.5,91.83,77.66,62.67,71,0.58,6.37,10.63,17.42,25.43,0.8,84,1.64,2.14,2.36,2.48,2.06,75.92,1.98,44.78,3,294,97.41,0.68,21.09,1957,0.56,0,407500,171901,744,361,26.6,27.7,11.9,12.55,55.31,58.4,82.21,92.84,5.8,4486.8,3.98,205.56
42,27623,2.49,5.26,94.08,0.29,0.33,13.24,25.31,12.11,15.24,100,21688,67.14,0.47,36.17,35.91,12.39,24.38,10366,4962,5873,18690,583,9710,16.93,8.47,31.19,8.67,51.76,28.81,19.41,21.56,15.52,11.23,26.78,13.8,3.03,66.86,66.61,70.4,48.26,61.45,4.37,4.77,4.77,4.77,8.79,0.07,95.79,0.45,3.99,2.47,2.56,2.32,66.48,1.45,44.54,3,649,94.47,3.39,42.84,1949,5.1,0.48,44000,22700,255,133,26.6,17,13.1,1.44,79.34,59.58,91.71,96.11,7.9,3513.5,1.91,734.61
44,52141,2.82,44.58,54.68,0.38,0.61,13.7,25.39,11.57,11.94,74.94,26125,75.62,1.98,29.04,28.99,10.49,18.76,11831,6978,13860,34126,7087,14522,17.28,17.59,36.09,7.06,57.9,21.98,22.32,19.26,22.3,9.99,27.96,11.88,3.21,67.53,73.73,67.93,62.31,70.29,8.21,10.62,16.63,32.33,38.8,0.09,97.01,0.31,6.44,2.78,2.8,2.73,68.27,3.41,34.4,3,1495,92.53,9.83,47.22,1967,10.47,4.04,70700,50700,250,198,28.7,22.4,14.3,0.83,74.77,59.38,80.79,93.24,414.5,125.8,1.63,919.33
45,16162,2.36,36.84,62.7,0.2,0.37,12.16,22.94,10.7,17.94,0,22446,70.6,0.51,35.91,36.51,8.64,16.7,13742,7929,49823,9822,15000,4595,15.61,18.52,37.05,5.68,57.4,43.8,18.11,30.35,23.08,11.15,28.44,15.14,2.95,59.28,53.45,64.04,70.45,77.01,7.8,4.23,4.23,38.03,45.07,0.04,96.59,0.51,4.18,2.35,2.44,2.2,63.12,2.44,47.1,3,471,93.56,5.52,47.35,1959,6.58,0.52,52700,47400,255,134,23.7,18.9,13.2,0.88,74.95,61.23,81.36,92.68,11.4,1423.7,0,682.23
46,66473,2.66,0.63,97.81,0.83,2.58,12.06,23.58,10.75,15.97,100,38742,73.79,0.39,48.04,34.09,3.6,22.5,16523,9763,14924,17930,14351,13815,3.74,5.59,20.23,5.55,60.08,12.53,21.8,11.95,24.31,6.22,25.37,9,3.1,84.22,92.92,84.33,54.19,64.45,1.03,5.52,11.78,14.11,16.69,0.26,92.48,0.85,4.06,2.65,2.69,2.46,83.83,1.31,44.45,3,3878,86.55,0.72,60.24,1972,0.67,0.16,133100,61500,604,216,32.6,25.7,17.4,4.71,71.99,61.13,77.21,94.05,27.2,2441,1.75,131.47
47,23170,2.09,0.7,95.77,1.74,6.86,8.08,20.23,9.15,12.36,100,53419,75.85,1.49,57.16,19.88,2.75,13.14,40537,28939,22538,48414,20261,15271,6.14,2.39,5.87,1.84,72.93,10.39,29.52,3.13,48.8,14.7,37.11,19.21,2.65,76.69,93.62,80.52,68.23,70.85,0.3,17.67,20.76,26.83,31.89,1.97,88.52,2.03,2.54,2.08,2.23,1.84,64.34,2.34,59.3,2,1759,86.31,0.57,15.52,1960,0.39,0.44,471300,156101,859,349,27.9,25.4,11.8,11.17,41.06,44.53,76.43,88.97,9,2575.6,1.97,794.41
48,12849,3.59,1.85,62.03,0.19,91.07,18.8,30.03,14.87,10.44,0,16180,69.32,1.59,13.09,32.32,24.32,9.2,5740,5575,0,0,4040,5022,37.04,42.31,61.8,12.26,44.19,16.67,21.07,22.14,14.35,8.53,30.36,12.4,3.96,72.16,76.35,72.71,39.62,44.65,3.45,0,3.26,6.83,20.96,0,15.13,14.64,18.52,3.56,3.53,3.63,68.41,20.25,50.24,2,554,86.6,25.81,75.63,1960,17.21,3.15,30700,24500,179,138,28.7,21.4,14,4.97,92.04,69.4,95.85,99.9,9.6,1345.2,1.23,420.91
51,18540,2.49,0.09,99.39,0.18,0.51,14.13,25.52,12.37,15.18,0,19985,69.56,1.62,33.14,34.55,8.77,12.6,10444,10101,10092,0,7652,9321,18.82,20.78,39.87,7.01,55.48,33.52,19.75,27.97,17.54,11.78,19.43,13.59,2.92,76.53,77.38,75.02,69.52,73.04,0.67,0,0,0,0,0,98.98,0.28,2.28,2.44,2.49,2.34,68.9,1.88,43.88,3,472,94.03,4.66,35.38,1972,10.95,0.51,41800,29500,216,121,26,17.5,12.3,0.26,73.8,52.41,83.68,89.62,30.1,616.9,0.23,92.91
