State,Gender,LeadingDeathMechanism,Type,Organ,Count
 Maryland, Male,Intracranial Hemorrhage / Stroke,Donors,All,84
 Maryland, Female,Intracranial Hemorrhage / Stroke,Donors,All,58
 Massachusetts, Male,Intracranial Hemorrhage / Stroke,Donors,All,140
 Massachusetts, Female,Intracranial Hemorrhage / Stroke,Donors,All,77
 Michigan, Male,Intracranial Hemorrhage / Stroke,Donors,All,149
 Michigan, Female,Intracranial Hemorrhage / Stroke,Donors,All,112
 Minnesota, Male,Intracranial Hemorrhage / Stroke,Donors,All,90
 Minnesota, Female,Intracranial Hemorrhage / Stroke,Donors,All,63
 Mississippi, Male,Intracranial Hemorrhage / Stroke,Donors,All,46
 Mississippi, Female,Intracranial Hemorrhage / Stroke,Donors,All,30
 Missouri, Male,Intracranial Hemorrhage / Stroke,Donors,All,83
 Missouri, Female,Intracranial Hemorrhage / Stroke,Donors,All,82
 Nebraska, Male,Intracranial Hemorrhage / Stroke,Donors,All,22
 Nebraska, Female,Intracranial Hemorrhage / Stroke,Donors,All,18
 Nevada, Male,Intracranial Hemorrhage / Stroke,Donors,All,41
 Nevada, Female,Intracranial Hemorrhage / Stroke,Donors,All,34
 New Jersey, Male,Intracranial Hemorrhage / Stroke,Donors,All,92
 New Jersey, Female,Intracranial Hemorrhage / Stroke,Donors,All,47
 New Mexico, Male,Intracranial Hemorrhage / Stroke,Donors,All,21
 New Mexico, Female,Blunt Injury,Donors,All,13
 New York, Male,Intracranial Hemorrhage / Stroke,Donors,All,216
 New York, Female,Intracranial Hemorrhage / Stroke,Donors,All,142
 North Carolina, Male,Intracranial Hemorrhage / Stroke,Donors,All,164
 North Carolina, Female,Intracranial Hemorrhage / Stroke,Donors,All,135
 Ohio, Male,Intracranial Hemorrhage / Stroke,Donors,All,175
 Ohio, Female,Intracranial Hemorrhage / Stroke,Donors,All,122
 Oklahoma, Male,Blunt Injury,Donors,All,53
 Oklahoma, Female,Intracranial Hemorrhage / Stroke,Donors,All,41
 Oregon, Male,Gunshot Wound,Donors,All,44
 Oregon, Female,Blunt Injury,Donors,All,31
 Pennsylvania, Male,Intracranial Hemorrhage / Stroke,Donors,All,359
 Pennsylvania, Female,Intracranial Hemorrhage / Stroke,Donors,All,252
 Puerto Rico, Male,Blunt Injury,Donors,All,66
 Puerto Rico, Female,Intracranial Hemorrhage / Stroke,Donors,All,39
 South Carolina, Male,Intracranial Hemorrhage / Stroke,Donors,All,58
 South Carolina, Female,Intracranial Hemorrhage / Stroke,Donors,All,45
 Tennessee, Male,Intracranial Hemorrhage / Stroke,Donors,All,181
 Tennessee, Female,Intracranial Hemorrhage / Stroke,Donors,All,120
 Texas, Male,Blunt Injury,Donors,All,390
 Texas, Female,Intracranial Hemorrhage / Stroke,Donors,All,266
 Utah, Male,Blunt Injury,Donors,All,48
 Utah, Female,Blunt Injury,Donors,All,35
 Virginia, Male,Intracranial Hemorrhage / Stroke,Donors,All,106
 Virginia, Female,Intracranial Hemorrhage / Stroke,Donors,All,73
 Washington, Male,Blunt Injury,Donors,All,98
 Washington, Female,Intracranial Hemorrhage / Stroke,Donors,All,78
 Wisconsin, Male,Intracranial Hemorrhage / Stroke,Donors,All,112
 Wisconsin, Female,Intracranial Hemorrhage / Stroke,Donors,All,80
 Alabama, Male,Intracranial Hemorrhage / Stroke,Recovered,All,186
 Alabama, Female,Intracranial Hemorrhage / Stroke,Recovered,All,179
 Arizona, Male,Blunt Injury,Recovered,All,349
 Arizona, Female,Intracranial Hemorrhage / Stroke,Recovered,All,162
 Arkansas, Male,Blunt Injury,Recovered,All,147
 Arkansas, Female,Intracranial Hemorrhage / Stroke,Recovered,All,94
 California, Male,Intracranial Hemorrhage / Stroke,Recovered,All,1967
 California, Female,Intracranial Hemorrhage / Stroke,Recovered,All,1148
 Colorado, Male,Blunt Injury,Recovered,All,306
 Colorado, Female,Intracranial Hemorrhage / Stroke,Recovered,All,143
 Connecticut, Male,Intracranial Hemorrhage / Stroke,Recovered,All,110
 Connecticut, Female,Intracranial Hemorrhage / Stroke,Recovered,All,46
 District of Columbia, Male,Intracranial Hemorrhage / Stroke,Recovered,All,262
 District of Columbia, Female,Intracranial Hemorrhage / Stroke,Recovered,All,159
 Florida, Male,Blunt Injury,Recovered,All,1174
 Florida, Female,Intracranial Hemorrhage / Stroke,Recovered,All,783
 Georgia, Male,Intracranial Hemorrhage / Stroke,Recovered,All,522
 Georgia, Female,Intracranial Hemorrhage / Stroke,Recovered,All,400
 Hawaii, Male,Blunt Injury,Recovered,All,104
 Hawaii, Female,Intracranial Hemorrhage / Stroke,Recovered,All,52
 Illinois, Male,Intracranial Hemorrhage / Stroke,Recovered,All,548
 Illinois, Female,Intracranial Hemorrhage / Stroke,Recovered,All,377
 Indiana, Male,Blunt Injury,Recovered,All,367
 Indiana, Female,Intracranial Hemorrhage / Stroke,Recovered,All,242
 Iowa, Male,Blunt Injury,Recovered,All,141
 Iowa, Female,Intracranial Hemorrhage / Stroke,Recovered,All,72
 Kansas, Male,Intracranial Hemorrhage / Stroke,Recovered,All,423
 Kansas, Female,Intracranial Hemorrhage / Stroke,Recovered,All,298
 Kentucky, Male,Blunt Injury,Recovered,All,184
 Kentucky, Female,Intracranial Hemorrhage / Stroke,Recovered,All,133
 Louisiana, Male,Intracranial Hemorrhage / Stroke,Recovered,All,362
 Louisiana, Female,Intracranial Hemorrhage / Stroke,Recovered,All,256
 Maryland, Male,Intracranial Hemorrhage / Stroke,Recovered,All,326
 Maryland, Female,Intracranial Hemorrhage / Stroke,Recovered,All,207
 Massachusetts, Male,Intracranial Hemorrhage / Stroke,Recovered,All,472
 Massachusetts, Female,Intracranial Hemorrhage / Stroke,Recovered,All,260
 Michigan, Male,Intracranial Hemorrhage / Stroke,Recovered,All,501
 Michigan, Female,Intracranial Hemorrhage / Stroke,Recovered,All,401
 Minnesota, Male,Intracranial Hemorrhage / Stroke,Recovered,All,326
 Minnesota, Female,Intracranial Hemorrhage / Stroke,Recovered,All,227
 Mississippi, Male,Intracranial Hemorrhage / Stroke,Recovered,All,175
 Mississippi, Female,Intracranial Hemorrhage / Stroke,Recovered,All,111
 Missouri, Male,Intracranial Hemorrhage / Stroke,Recovered,All,310
 Missouri, Female,Intracranial Hemorrhage / Stroke,Recovered,All,308
 Nebraska, Male,Intracranial Hemorrhage / Stroke,Recovered,All,82
 Nebraska, Female,Intracranial Hemorrhage / Stroke,Recovered,All,57
 Nevada, Male,Intracranial Hemorrhage / Stroke,Recovered,All,145
 Nevada, Female,Intracranial Hemorrhage / Stroke,Recovered,All,129
 New Jersey, Male,Intracranial Hemorrhage / Stroke,Recovered,All,306
 New Jersey, Female,Intracranial Hemorrhage / Stroke,Recovered,All,145
 New Mexico, Male,Intracranial Hemorrhage / Stroke,Recovered,All,68
 New Mexico, Female,Blunt Injury,Recovered,All,38
 New York, Male,Intracranial Hemorrhage / Stroke,Recovered,All,685
 New York, Female,Intracranial Hemorrhage / Stroke,Recovered,All,408
 North Carolina, Male,Intracranial Hemorrhage / Stroke,Recovered,All,594
 North Carolina, Female,Intracranial Hemorrhage / Stroke,Recovered,All,466
 Ohio, Male,Intracranial Hemorrhage / Stroke,Recovered,All,636
 Ohio, Female,Intracranial Hemorrhage / Stroke,Recovered,All,431
 Oklahoma, Male,Blunt Injury,Recovered,All,208
 Oklahoma, Female,Intracranial Hemorrhage / Stroke,Recovered,All,152
 Oregon, Male,Gunshot Wound,Recovered,All,163
 Oregon, Female,Blunt Injury,Recovered,All,108
 Pennsylvania, Male,Intracranial Hemorrhage / Stroke,Recovered,All,1250
 Pennsylvania, Female,Intracranial Hemorrhage / Stroke,Recovered,All,852
 Puerto Rico, Male,Blunt Injury,Recovered,All,250
 Puerto Rico, Female,Intracranial Hemorrhage / Stroke,Recovered,All,109
 South Carolina, Male,Intracranial Hemorrhage / Stroke,Recovered,All,219
 South Carolina, Female,Intracranial Hemorrhage / Stroke,Recovered,All,166
 Tennessee, Male,Intracranial Hemorrhage / Stroke,Recovered,All,663
 Tennessee, Female,Intracranial Hemorrhage / Stroke,Recovered,All,425
 Texas, Male,Blunt Injury,Recovered,All,1461
 Texas, Female,Intracranial Hemorrhage / Stroke,Recovered,All,896
 Utah, Male,Blunt Injury,Recovered,All,172
 Utah, Female,Blunt Injury,Recovered,All,107
 Virginia, Male,Intracranial Hemorrhage / Stroke,Recovered,All,348
 Virginia, Female,Intracranial Hemorrhage / Stroke,Recovered,All,251
 Washington, Male,Blunt Injury,Recovered,All,351
 Washington, Female,Intracranial Hemorrhage / Stroke,Recovered,All,273
 Wisconsin, Male,Intracranial Hemorrhage / Stroke,Recovered,All,380
 Wisconsin, Female,Intracranial Hemorrhage / Stroke,Recovered,All,288
 Alabama, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,98
 Alabama, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,98
 Arizona, Male,Blunt Injury,Recovered,Kidney,175
 Arizona, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,90
 Arkansas, Male,Blunt Injury,Recovered,Kidney,75
 Arkansas, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,47
 California, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,1018
 California, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,611
 Colorado, Male,Blunt Injury,Recovered,Kidney,162
 Colorado, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,74
 Connecticut, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,58
 Connecticut, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,24
 District of Columbia, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,122
 District of Columbia, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,91
 Florida, Male,Blunt Injury,Recovered,Kidney,586
 Florida, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,407
 Georgia, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,220
 Georgia, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,197
 Hawaii, Male,Blunt Injury,Recovered,Kidney,74
 Hawaii, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,36
 Illinois, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,289
 Illinois, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,194
 Indiana, Male,Blunt Injury,Recovered,Kidney,173
 Indiana, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,118
 Iowa, Male,Blunt Injury,Recovered,Kidney,74
 Iowa, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,42
 Kansas, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,219
 Kansas, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,157
 Kentucky, Male,Blunt Injury,Recovered,Kidney,96
 Kentucky, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,74
 Louisiana, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,154
 Louisiana, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,125
 Maryland, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,159
 Maryland, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,98
 Massachusetts, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,265
 Massachusetts, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,144
 Michigan, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,270
 Michigan, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,208
 Minnesota, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,163
 Minnesota, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,122
 Mississippi, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,85
 Mississippi, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,60
 Missouri, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,136
 Missouri, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,142
 Nebraska, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,42
 Nebraska, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,34
 Nevada, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,82
 Nevada, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,64
 New Jersey, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,170
 New Jersey, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,94
 New Mexico, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,38
 New Mexico, Female,Blunt Injury,Recovered,Kidney,26
 New York, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,368
 New York, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,225
 North Carolina, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,307
 North Carolina, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,241
 Ohio, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,322
 Ohio, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,225
 Oklahoma, Male,Blunt Injury,Recovered,Kidney,105
 Oklahoma, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,77
 Oregon, Male,Gunshot Wound,Recovered,Kidney,82
 Oregon, Female,Blunt Injury,Recovered,Kidney,62
 Pennsylvania, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,629
 Pennsylvania, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,452
 Puerto Rico, Male,Blunt Injury,Recovered,Kidney,119
 Puerto Rico, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,65
 South Carolina, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,107
 South Carolina, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,82
 Tennessee, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,330
 Tennessee, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,228
 Texas, Male,Blunt Injury,Recovered,Kidney,709
 Texas, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,448
 Utah, Male,Blunt Injury,Recovered,Kidney,91
 Utah, Female,Blunt Injury,Recovered,Kidney,69
 Virginia, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,199
 Virginia, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,136
 Washington, Male,Blunt Injury,Recovered,Kidney,190
 Washington, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,152
 Wisconsin, Male,Intracranial Hemorrhage / Stroke,Recovered,Kidney,202
 Wisconsin, Female,Intracranial Hemorrhage / Stroke,Recovered,Kidney,152
 Alabama, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,14
 Alabama, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,6
 Arizona, Male,Blunt Injury,Recovered,Pancreas,18
 Arizona, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,6
 Arkansas, Male,Blunt Injury,Recovered,Pancreas,6
 Arkansas, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,0
 California, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,98
 California, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,43
 Colorado, Male,Blunt Injury,Recovered,Pancreas,19
 Colorado, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,4
 Connecticut, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,10
 Connecticut, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,1
 District of Columbia, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,17
 District of Columbia, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,4
 Florida, Male,Blunt Injury,Recovered,Pancreas,68
 Florida, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,23
 Georgia, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,29
 Georgia, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,12
 Hawaii, Male,Blunt Injury,Recovered,Pancreas,7
 Hawaii, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,1
 Illinois, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,50
 Illinois, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,33
 Indiana, Male,Blunt Injury,Recovered,Pancreas,32
 Indiana, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,17
 Iowa, Male,Blunt Injury,Recovered,Pancreas,10
 Iowa, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,4
 Kansas, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,29
 Kansas, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,14
 Kentucky, Male,Blunt Injury,Recovered,Pancreas,9
 Kentucky, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,4
 Louisiana, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,28
 Louisiana, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,13
 Maryland, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,26
 Maryland, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,13
 Massachusetts, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,30
 Massachusetts, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,10
 Michigan, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,24
 Michigan, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,17
 Minnesota, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,20
 Minnesota, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,14
 Mississippi, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,7
 Mississippi, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,2
 Missouri, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,13
 Missouri, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,9
 Nebraska, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,6
 Nebraska, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,3
 Nevada, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,9
 Nevada, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,5
 New Jersey, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,15
 New Jersey, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,4
 New Mexico, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,1
 New Mexico, Female,Blunt Injury,Recovered,Pancreas,1
 New York, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,34
 New York, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,12
 North Carolina, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,31
 North Carolina, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,25
 Ohio, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,46
 Ohio, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,20
 Oklahoma, Male,Blunt Injury,Recovered,Pancreas,12
 Oklahoma, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,8
 Oregon, Male,Gunshot Wound,Recovered,Pancreas,6
 Oregon, Female,Blunt Injury,Recovered,Pancreas,4
 Pennsylvania, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,63
 Pennsylvania, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,24
 Puerto Rico, Male,Blunt Injury,Recovered,Pancreas,17
 Puerto Rico, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,16
 South Carolina, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,15
 South Carolina, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,7
 Tennessee, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,59
 Tennessee, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,36
 Texas, Male,Blunt Injury,Recovered,Pancreas,110
 Texas, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,79
 Utah, Male,Blunt Injury,Recovered,Pancreas,8
 Utah, Female,Blunt Injury,Recovered,Pancreas,6
 Virginia, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,21
 Virginia, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,10
 Washington, Male,Blunt Injury,Recovered,Pancreas,26
 Washington, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,15
 Wisconsin, Male,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,52
 Wisconsin, Female,Intracranial Hemorrhage / Stroke,Recovered,Pancreas,30
 Alabama, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,45
 Alabama, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,52
 Arizona, Male,Blunt Injury,Recovered,Liver,80
 Arizona, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,40
 Arkansas, Male,Blunt Injury,Recovered,Liver,36
 Arkansas, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,26
 California, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,411
 California, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,261
 Colorado, Male,Blunt Injury,Recovered,Liver,67
 Colorado, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,36
 Connecticut, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,24
 Connecticut, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,13
 District of Columbia, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,68
 District of Columbia, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,41
 Florida, Male,Blunt Injury,Recovered,Liver,289
 Florida, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,189
 Georgia, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,131
 Georgia, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,111
 Hawaii, Male,Blunt Injury,Recovered,Liver,23
 Hawaii, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,11
 Illinois, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,114
 Illinois, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,90
 Indiana, Male,Blunt Injury,Recovered,Liver,84
 Indiana, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,52
 Iowa, Male,Blunt Injury,Recovered,Liver,28
 Iowa, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,17
 Kansas, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,84
 Kansas, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,64
 Kentucky, Male,Blunt Injury,Recovered,Liver,44
 Kentucky, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,31
 Louisiana, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,92
 Louisiana, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,70
 Maryland, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,69
 Maryland, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,53
 Massachusetts, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,104
 Massachusetts, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,54
 Michigan, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,103
 Michigan, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,84
 Minnesota, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,77
 Minnesota, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,54
 Mississippi, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,43
 Mississippi, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,26
 Missouri, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,70
 Missouri, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,70
 Nebraska, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,21
 Nebraska, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,13
 Nevada, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,33
 Nevada, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,29
 New Jersey, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,63
 New Jersey, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,26
 New Mexico, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,17
 New Mexico, Female,Blunt Injury,Recovered,Liver,8
 New York, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,175
 New York, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,118
 North Carolina, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,121
 North Carolina, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,99
 Ohio, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,149
 Ohio, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,96
 Oklahoma, Male,Blunt Injury,Recovered,Liver,42
 Oklahoma, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,36
 Oregon, Male,Gunshot Wound,Recovered,Liver,37
 Oregon, Female,Blunt Injury,Recovered,Liver,28
 Pennsylvania, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,315
 Pennsylvania, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,221
 Puerto Rico, Male,Blunt Injury,Recovered,Liver,57
 Puerto Rico, Female,Intracranial Hemorrhage / Stroke,Recovered,Liver,32
 South Carolina, Male,Intracranial Hemorrhage / Stroke,Recovered,Liver,52
