State,Gender,LeadingDeathMechanism,Region,Donors,AllRecovered,KidneysRecovered,PancreasRecovered,LiverRecovered,IntestineRecovered,HeartsRecovered,LungsRecovered,AllTransplanted,KidneysTransplanted,PancreasTransplanted,LiverTransplanted,IntestineTransplanted,HeartsTransplanted,LungsTransplanted,EstPop,RecPerDonor,TransPerDonor,AllRecPerDonor,AllTransPerDonor,AllTransPerRecover
 Virginia,Female,Intracranial Hemorrhage / Stroke,Southeast,73,251,136,10,62,3,14,25,190,94,8,48,3,13,24,4163230,3.438356164,2.602739726,3.346368715,2.659217877,0.794657763
 Utah,Female,Blunt Injury,Rocky Mountains,35,107,69,6,19,2,7,8,100,63,1,19,2,7,8,1419400,3.057142857,2.857142857,3.361445783,3.120481928,0.928315412
 Texas,Female,Intracranial Hemorrhage / Stroke,Southwest,266,896,448,79,213,2,65,137,757,333,24,199,2,65,134,13112625,3.368421053,2.845864662,3.592987805,3.141768293,0.874416631
 Tennessee,Female,Intracranial Hemorrhage / Stroke,Southeast,120,425,228,36,110,5,26,33,350,167,17,104,5,25,32,3305817,3.541666667,2.916666667,3.61461794,2.986710963,0.826286765
 South Carolina,Female,Intracranial Hemorrhage / Stroke,Southeast,45,166,82,7,44,2,14,16,132,57,6,38,2,13,16,2424605,3.688888889,2.933333333,3.737864078,3.213592233,0.85974026
 Puerto Rico,Female,Intracranial Hemorrhage / Stroke,Noncontiguous,39,109,65,16,32,0,2,9,87,47,1,28,0,2,9,3725789,2.794871795,2.230769231,3.419047619,2.79047619,0.816155989
 Pennsylvania,Female,Intracranial Hemorrhage / Stroke,Northeast,252,852,452,24,221,2,55,98,627,313,12,171,2,52,77,6532457,3.380952381,2.488095238,3.440261866,2.56792144,0.74643197
 Oregon,Female,Blunt Injury,Pacific,31,108,62,4,28,0,8,6,100,57,4,25,0,8,6,1970240,3.483870968,3.225806452,3.613333333,3.32,0.918819188
 Oklahoma,Female,Intracranial Hemorrhage / Stroke,Southwest,41,152,77,8,36,1,13,17,127,65,5,26,1,13,17,1926273,3.707317073,3.097560976,3.829787234,3.436170213,0.897222222
 Ohio,Female,Intracranial Hemorrhage / Stroke,Midwest,122,431,225,20,96,0,30,60,386,185,20,93,0,30,58,5905805,3.532786885,3.163934426,3.592592593,3.208754209,0.893158388
 North Carolina,Female,Intracranial Hemorrhage / Stroke,Southeast,135,466,241,25,99,3,28,70,377,185,11,90,3,27,61,4998101,3.451851852,2.792592593,3.545150502,2.903010033,0.818867925
 New York,Female,Intracranial Hemorrhage / Stroke,Northeast,142,408,225,12,118,3,27,23,352,182,10,108,3,27,22,10081486,2.873239437,2.478873239,3.053072626,2.670391061,0.874656908
 New Mexico,Female,Blunt Injury,Southwest,13,38,26,1,8,0,2,1,34,23,1,7,0,2,1,1051711,2.923076923,2.615384615,3.117647059,2.617647059,0.839622642
 New Jersey,Female,Intracranial Hemorrhage / Stroke,Northeast,47,145,94,4,26,0,9,12,111,68,3,19,0,9,12,4542439,3.085106383,2.361702128,3.244604317,2.71942446,0.838137472
 Nevada,Female,Intracranial Hemorrhage / Stroke,Rocky Mountains,34,129,64,5,29,1,10,20,111,49,5,26,1,10,20,1365581,3.794117647,3.264705882,3.653333333,3.12,0.854014599
 Nebraska,Female,Intracranial Hemorrhage / Stroke,Midwest,18,57,34,3,13,0,3,4,52,30,2,13,0,3,4,933227,3.166666667,2.888888889,3.475,3.25,0.935251799
 Missouri,Female,Intracranial Hemorrhage / Stroke,Midwest,82,308,142,9,70,0,21,66,276,116,9,65,0,21,65,3072037,3.756097561,3.365853659,3.745454545,3.36969697,0.899676375
 Mississippi,Female,Intracranial Hemorrhage / Stroke,Southeast,30,111,60,2,26,1,10,12,90,46,1,23,1,10,9,1534805,3.7,3,3.763157895,3.276315789,0.870629371
 Minnesota,Female,Intracranial Hemorrhage / Stroke,Midwest,63,227,122,14,54,0,16,21,193,97,9,50,0,16,21,2707289,3.603174603,3.063492063,3.614379085,3.039215686,0.840867993
 Michigan,Female,Intracranial Hemorrhage / Stroke,Midwest,112,401,208,17,84,3,35,54,343,158,14,79,3,35,54,5031718,3.580357143,3.0625,3.455938697,2.969348659,0.859201774
 Massachusetts,Female,Intracranial Hemorrhage / Stroke,Northeast,77,260,144,10,54,0,20,32,221,120,4,49,0,20,28,3425383,3.376623377,2.87012987,3.373271889,2.926267281,0.867486339
 Maryland,Female,Intracranial Hemorrhage / Stroke,Southeast,58,207,98,13,53,0,15,28,166,76,6,48,0,13,23,3033040,3.568965517,2.862068966,3.753521127,3.035211268,0.808630394
 Louisiana,Female,Intracranial Hemorrhage / Stroke,Southeast,75,256,125,13,70,1,13,34,216,92,10,67,1,13,33,2349726,3.413333333,2.88,3.635294118,3.270588235,0.899676375
 Kentucky,Female,Intracranial Hemorrhage / Stroke,Southeast,38,133,74,4,31,2,8,14,116,59,3,30,2,8,14,2223835,3.5,3.052631579,3.602272727,3.113636364,0.864353312
 Kansas,Female,Intracranial Hemorrhage / Stroke,Midwest,88,298,157,14,64,0,26,37,258,127,11,58,0,26,36,1449940,3.386363636,2.931818182,3.449760766,2.995215311,0.868238558
 Iowa,Female,Intracranial Hemorrhage / Stroke,Midwest,22,72,42,4,17,0,5,4,65,39,2,15,0,5,4,1550129,3.272727273,2.954545455,3.55,3.15,0.887323944
 Indiana,Female,Intracranial Hemorrhage / Stroke,Midwest,60,242,118,17,52,2,23,30,213,104,13,42,2,23,29,3319262,4.033333333,3.55,3.954545455,3.441558442,0.870279146
 Illinois,Female,Intracranial Hemorrhage / Stroke,Midwest,109,377,194,33,90,3,31,26,313,146,21,87,3,31,25,6552234,3.458715596,2.871559633,3.425925926,2.962962963,0.864864865
 Hawaii,Female,Intracranial Hemorrhage / Stroke,Noncontiguous,19,52,36,1,11,0,0,4,37,25,1,7,0,0,4,689588,2.736842105,1.947368421,2.736842105,2.035087719,0.743589744
 Georgia,Female,Intracranial Hemorrhage / Stroke,Southeast,123,400,197,12,111,2,29,49,342,148,12,103,2,29,48,5067522,3.25203252,2.780487805,3.427509294,3.05204461,0.890455531
 Florida,Female,Intracranial Hemorrhage / Stroke,Southeast,228,783,407,23,189,2,62,100,674,317,18,182,1,61,95,9873430,3.434210526,2.956140351,3.532490975,3.160649819,0.894736842
 District of Columbia,Female,Intracranial Hemorrhage / Stroke,Southeast,54,159,91,4,41,0,7,16,129,70,4,32,0,7,16,333731,2.944444444,2.388888889,3.189393939,2.696969697,0.845605701
 Connecticut,Female,Intracranial Hemorrhage / Stroke,Northeast,13,46,24,1,13,0,4,4,39,18,1,12,0,4,4,1840884,3.538461538,3,3.714285714,3.285714286,0.884615385
 Colorado,Female,Intracranial Hemorrhage / Stroke,Rocky Mountains,40,143,74,4,36,0,15,14,127,61,4,33,0,15,14,2584688,3.575,3.175,3.563492063,3.095238095,0.868596882
 California,Female,Intracranial Hemorrhage / Stroke,Pacific,328,1148,611,43,261,5,90,138,1009,527,29,227,4,87,135,19103913,3.5,3.076219512,3.617886179,3.236933798,0.89470305
 Arkansas,Female,Intracranial Hemorrhage / Stroke,Southeast,26,94,47,0,26,0,2,19,79,35,0,23,0,2,19,1500877,3.615384615,3.038461538,3.597014925,3.059701493,0.850622407
 Arizona,Female,Intracranial Hemorrhage / Stroke,Southwest,49,162,90,6,40,0,11,15,130,66,5,34,0,11,14,3293392,3.306122449,2.653061224,3.573426573,3.062937063,0.857142857
 Alabama,Female,Intracranial Hemorrhage / Stroke,Southeast,58,179,98,6,52,1,13,9,155,79,4,49,1,13,9,2480289,3.086206897,2.672413793,3.318181818,2.881818182,0.868493151
 Wisconsin,Male,Intracranial Hemorrhage / Stroke,Midwest,112,380,202,52,90,1,35,22,324,169,23,74,1,35,22,2842225,3.392857143,2.892857143,3.479166667,2.911458333,0.836826347
 Washington,Male,Blunt Injury,Pacific,98,351,190,26,75,0,37,34,288,162,9,49,0,36,32,3440311,3.581632653,2.93877551,3.545454545,2.982954545,0.841346154
 Virginia,Male,Intracranial Hemorrhage / Stroke,Southeast,106,348,199,21,87,0,24,28,286,154,9,71,0,24,28,4023398,3.283018868,2.698113208,3.346368715,2.659217877,0.794657763
 Utah,Male,Blunt Injury,Rocky Mountains,48,172,91,8,34,1,22,18,159,81,6,31,1,22,18,1435471,3.583333333,3.3125,3.361445783,3.120481928,0.928315412
 Texas,Male,Blunt Injury,Southwest,390,1461,709,110,298,3,171,201,1304,591,65,275,2,170,201,12948171,3.746153846,3.343589744,3.592987805,3.141768293,0.874416631
 Tennessee,Male,Intracranial Hemorrhage / Stroke,Southeast,181,663,330,59,155,3,66,73,549,240,27,143,3,66,70,3149097,3.662983425,3.033149171,3.61461794,2.986710963,0.826286765
 South Carolina,Male,Intracranial Hemorrhage / Stroke,Southeast,58,219,107,15,52,0,22,31,199,97,6,47,0,22,27,2298812,3.775862069,3.431034483,3.737864078,3.213592233,0.85974026
 Puerto Rico,Male,Blunt Injury,Noncontiguous,66,250,119,17,57,0,22,36,206,87,14,56,0,22,27,3725789,3.787878788,3.121212121,3.419047619,2.79047619,0.816155989
 Pennsylvania,Male,Intracranial Hemorrhage / Stroke,Northeast,359,1250,629,63,315,2,104,137,942,476,37,243,2,97,87,6232018,3.48189415,2.623955432,3.440261866,2.56792144,0.74643197
 Oregon,Male,Gunshot Wound,Pacific,44,163,82,6,37,0,17,21,149,74,6,31,0,17,21,1929561,3.704545455,3.386363636,3.613333333,3.32,0.918819188
 Oklahoma,Male,Blunt Injury,Southwest,53,208,105,12,42,2,19,28,196,99,8,41,2,19,27,1889507,3.924528302,3.698113208,3.829787234,3.436170213,0.897222222
 Ohio,Male,Intracranial Hemorrhage / Stroke,Midwest,175,636,322,46,149,1,65,53,567,271,39,141,1,65,50,5647226,3.634285714,3.24,3.592592593,3.208754209,0.893158388
 North Carolina,Male,Intracranial Hemorrhage / Stroke,Southeast,164,594,307,31,121,1,52,82,491,242,19,109,1,51,69,4750263,3.62195122,2.993902439,3.545150502,2.903010033,0.818867925
 New York,Male,Intracranial Hemorrhage / Stroke,Northeast,216,685,368,34,175,3,72,33,604,309,24,167,3,72,29,9494639,3.171296296,2.796296296,3.053072626,2.670391061,0.874656908
 New Mexico,Male,Intracranial Hemorrhage / Stroke,Southwest,21,68,38,1,17,0,4,8,55,27,0,17,0,4,7,1031829,3.238095238,2.619047619,3.117647059,2.617647059,0.839622642
 New Jersey,Male,Intracranial Hemorrhage / Stroke,Northeast,92,306,170,15,63,0,28,30,267,145,11,57,0,28,26,4325310,3.326086957,2.902173913,3.244604317,2.71942446,0.838137472
 Nevada,Male,Intracranial Hemorrhage / Stroke,Rocky Mountains,41,145,82,9,33,3,10,8,123,67,5,30,3,10,8,1388773,3.536585366,3,3.653333333,3.12,0.854014599
 Nebraska,Male,Intracranial Hemorrhage / Stroke,Midwest,22,82,42,6,21,0,5,8,78,40,5,20,0,5,8,922123,3.727272727,3.545454545,3.475,3.25,0.935251799
 Missouri,Male,Intracranial Hemorrhage / Stroke,Midwest,83,310,136,13,70,1,27,63,280,114,10,65,1,27,63,2952485,3.734939759,3.373493976,3.745454545,3.36969697,0.899676375
 Mississippi,Male,Intracranial Hemorrhage / Stroke,Southeast,46,175,85,7,43,1,17,22,159,75,4,40,1,17,22,1451645,3.804347826,3.456521739,3.763157895,3.276315789,0.870629371
 Minnesota,Male,Intracranial Hemorrhage / Stroke,Midwest,90,326,163,20,77,2,31,33,272,123,12,71,2,31,33,2672357,3.622222222,3.022222222,3.614379085,3.039215686,0.840867993
 Michigan,Male,Intracranial Hemorrhage / Stroke,Midwest,149,501,270,24,103,3,52,49,432,215,23,93,3,51,47,4850801,3.362416107,2.899328859,3.455938697,2.969348659,0.859201774
 Massachusetts,Male,Intracranial Hemorrhage / Stroke,Northeast,140,472,265,30,104,3,36,34,414,232,18,92,3,35,34,3219920,3.371428571,2.957142857,3.373271889,2.926267281,0.867486339
 Maryland,Male,Intracranial Hemorrhage / Stroke,Southeast,84,326,159,26,69,0,27,45,265,118,17,60,0,27,43,2851828,3.880952381,3.154761905,3.753521127,3.035211268,0.808630394
 Louisiana,Male,Intracranial Hemorrhage / Stroke,Southeast,95,362,154,28,92,2,31,55,340,135,27,90,2,31,55,2252408,3.810526316,3.578947368,3.635294118,3.270588235,0.899676375
 Kentucky,Male,Blunt Injury,Southeast,50,184,96,9,44,0,15,20,158,76,6,42,0,15,19,2155895,3.68,3.16,3.602272727,3.113636364,0.864353312
 Kansas,Male,Intracranial Hemorrhage / Stroke,Midwest,121,423,219,29,84,1,38,52,368,181,21,78,1,38,49,1435458,3.495867769,3.041322314,3.449760766,2.995215311,0.868238558
 Iowa,Male,Blunt Injury,Midwest,38,141,74,10,28,2,13,14,124,62,9,24,2,13,14,1524910,3.710526316,3.263157895,3.55,3.15,0.887323944
 Indiana,Male,Blunt Injury,Midwest,94,367,173,32,84,10,38,30,317,146,21,74,8,38,30,3218520,3.904255319,3.372340426,3.954545455,3.441558442,0.870279146
 Illinois,Male,Intracranial Hemorrhage / Stroke,Midwest,161,548,289,50,114,4,45,46,487,248,34,111,3,45,46,6315958,3.403726708,3.02484472,3.425925926,2.962962963,0.864864865
 Hawaii,Male,Blunt Injury,Noncontiguous,38,104,74,7,23,0,0,0,79,59,5,15,0,0,0,700502,2.736842105,2.078947368,2.736842105,2.035087719,0.743589744
 Georgia,Male,Intracranial Hemorrhage / Stroke,Southeast,146,522,220,29,131,2,66,74,479,191,26,123,2,66,71,4848124,3.575342466,3.280821918,3.427509294,3.05204461,0.890455531
 Florida,Male,Blunt Injury,Southeast,326,1174,586,68,289,11,114,106,1077,523,54,277,9,113,101,9447319,3.601226994,3.303680982,3.532490975,3.160649819,0.894736842
 District of Columbia,Male,Intracranial Hemorrhage / Stroke,Southeast,78,262,122,17,68,0,19,36,227,106,11,57,0,17,36,299696,3.358974359,2.91025641,3.189393939,2.696969697,0.845605701
 Connecticut,Male,Intracranial Hemorrhage / Stroke,Northeast,29,110,58,10,24,0,12,6,99,54,6,21,0,12,6,1750881,3.793103448,3.413793103,3.714285714,3.285714286,0.884615385
 Colorado,Male,Blunt Injury,Rocky Mountains,86,306,162,19,67,1,33,24,263,142,17,51,1,32,20,2604770,3.558139535,3.058139535,3.563492063,3.095238095,0.868596882
 California,Male,Intracranial Hemorrhage / Stroke,Pacific,533,1967,1018,98,411,3,189,248,1778,879,80,381,3,189,246,18895965,3.69043152,3.335834897,3.617886179,3.236933798,0.89470305
 Arkansas,Male,Blunt Injury,Southeast,41,147,75,6,36,0,17,13,126,62,4,30,0,17,13,1448951,3.585365854,3.073170732,3.597014925,3.059701493,0.850622407
 Arizona,Male,Blunt Injury,Southwest,94,349,175,18,80,0,34,42,308,149,13,72,0,34,40,3257757,3.712765957,3.276595745,3.573426573,3.062937063,0.857142857
 Alabama,Male,Intracranial Hemorrhage / Stroke,Southeast,52,186,98,14,45,0,14,15,162,78,12,43,0,14,15,2337239,3.576923077,3.115384615,3.318181818,2.881818182,0.868493151
