id, rate,precip,pov,population
65,488.92,31.89,6,39475
66,336.73,47.01,4.2,308555
67,652.68,48.285,15.4,6435
68,388.76,46.58,4.3,101090
69,320.77,41.51,2.1,115970
70,442.38,40.895,8.8,22605
71,413.73,42.815,8.2,11360
72,384.24,40.72,4.3,45545
73,491,40.97,7.8,12220
74,406.08,45.6,3.9,140120
75,479.74,45.78,3.4,90465
76,407.44,42.85,6.1,22580
77,660.71,40.14,6.7,12865
78,405.73,45.24,5.4,91440
79,382.57,55.38,5.6,14115
80,454.92,41.045,6.6,36050
81,604.41,38.62,6.5,23825
82,615.77,48.96,11.1,11855
83,354.58,51.42,2.1,424440
84,383.89,44.08,3.6,134415
85,349.78,51.065,3.3,188120
86,428.94,47.705,4.7,56885
87,376.36,52.56,1.4,69615
88,419.85,40.37,3.7,75265
89,612.2,52.345,7.7,20745
90,372.84,49.79,3.8,17970
91,420.96,47.34,3,76255
92,432.69,45.31,10.1,27040
93,430.71,48.415,1.9,28325
94,314.84,42.93,9.5,800720
95,452.73,45.145,5.8,31365
96,598.14,56.09,15.8,14545
97,426.08,46.455,4.9,23235
98,421.7,49.32,3.5,40550
99,411.1,41.815,5.9,34055
100,476.33,43.88,8.2,86075
101,417.76,50.485,4.1,127345
102,612,53.43,9.3,4085
103,356.54,36.94,6.2,11780
104,594.06,63.48,17.5,3030
105,361.91,37.01,7.5,16855
106,357.31,44.81,6.2,83680
107,477.91,42.485,5,22180
108,406.32,53.92,2.7,196645
109,446.71,41.08,1.7,15670
110,463.84,36.32,6,20050
112,388.55,44.315,4.3,48385
114,632.72,47.635,5.7,10115
115,597.72,54.315,8.3,21080
116,656.46,47.105,11,6855
117,330.53,44.9,7.5,16640
119,487.8,42.92,8.8,3485
121,335.02,48.47,3,131635
122,425.74,43.96,4.7,10335
123,636.94,46.51,15.8,3925
124,383.04,40.53,5.5,3655
125,384.35,44.61,4.7,7285
126,383.62,46.01,3.5,46400
127,425.84,40.37,6.2,20665
128,376.67,34.64,6.9,8230
129,487.05,37.84,6.8,22585
130,518.29,42.77,9.9,3280
131,606.72,50.94,11.3,4615
132,577.02,42.87,7.6,18890
135,440.04,40.815,3,16135
136,457.63,34.98,6.8,13985
137,601.41,47.555,10.6,7815
138,603.25,40.715,5.3,8620
139,361.86,46.315,3.9,64665
140,374.11,41.1,3.9,67360
141,609.14,54.475,6.6,61070
142,412.06,53.28,5.3,312820
143,411.94,57.13,7.9,50735
144,549.28,56.65,12.3,16385
145,704.1,68.64,5.5,11220
146,539.11,64.26,9.4,94230
147,545.4,61.22,7,94060
148,533.36,54.84,5.9,84745
149,478.68,50.1,5.1,58285
150,589.98,53.8,7.6,131700
151,518.99,42.37,8,61080
152,585.91,48.635,8.1,50520
153,460.84,56.815,5.4,157320
154,692.88,58.405,6.4,32040
155,542.24,62.42,8.4,36515
156,527.98,56.17,11.2,22160
157,414.85,62.72,5.9,29890
158,489.6,49,6,107435
159,522.06,54.2,10.3,49420
160,513.51,47.08,5.8,51995
161,583.21,69.145,10.1,69100
162,621.04,59.315,8.5,31560
163,487.68,67.585,7.7,81200
164,488.33,52.31,9.3,23140
165,299.21,47.485,5,176465
166,542.39,52.985,9,27840
167,462.13,50.23,4.8,62320
168,483.48,57.53,7.3,33300
169,516.74,44.735,7.9,29415
170,569.81,44.02,6.8,30010
171,569.27,59.33,9.9,37065
172,486.91,52.795,8.1,24645
173,525.21,65.125,7.4,19040
174,639.12,51.82,10.7,9075
175,404.04,55.63,18,8415
176,411.66,48.62,12.3,11660
177,589.15,55.4,7.3,28855
178,556.77,44.37,11.8,9160
179,500.96,52.05,10.3,20760
180,606.29,46.96,10.1,13030
181,660.61,50.16,8.2,12110
182,473.03,55.755,5.4,88790
183,544.13,56.605,9.2,31610
184,520.28,44.84,10.7,27485
185,559.09,63.305,6.9,18065
186,526.99,47.37,4.9,90325
187,467.54,48.79,7.2,22030
188,502.56,61.74,9,33230
189,700.91,46.94,11.9,8275
190,490.1,58.22,3,58560
191,530.67,53.61,6.2,45980
192,498.71,52.81,4.7,17445
193,548.35,46.69,8.2,37020
194,436.14,50.33,10.2,12840
195,595.58,45.72,10.4,20820
196,488.02,52.245,11.1,11475
197,637.02,45.33,13.5,8320
198,516.3,43.24,5.2,56750
199,625.54,39.93,14.1,5755
200,335.21,51.87,7.3,561445
201,405.21,49.695,8.4,6910
202,416.02,48.66,6.7,134610
203,548.52,44.84,6.8,28805
204,590.82,47.925,7.5,7955
205,441.87,45.81,7.2,27610
206,627.72,48.48,11.2,16090
207,664.03,46.27,11.2,18975
208,652.55,61.23,7.2,17470
209,343.17,59.93,9.2,14570
210,522.45,64.77,6,44980
211,568.04,57.15,6.4,23590
212,480.87,49.92,7.7,48870
213,293.71,45.19,3.8,171260
214,555.8,44.585,9.6,22310
215,545.32,56.59,8.7,19805
216,410.4,55.925,7.8,10965
217,681.24,50.665,8.3,17615
218,516.2,55.41,5.3,53080
219,526.57,68.93,8,30765
220,601.64,51.59,7.3,5485
221,306.31,48.32,4.9,337245
222,543.26,47.735,12.3,9940
223,443.26,60.99,10.6,13085
224,521.82,57.54,8.4,42735
225,471.45,54.04,5.8,73815
226,611.3,58.92,8.9,35825
227,399.64,49.905,5.6,535485
228,790.51,51.78,11.9,5060
229,502.75,52.34,4.4,39980
230,565.45,50.875,10.1,4775
231,517.81,52.99,5.2,27230
232,573.37,60.36,8.2,10290
233,446.02,50.66,6.8,106050
234,469.18,56.46,6.3,12575
235,478.57,46.01,4.5,42000
236,567.77,44.24,10.9,5460
237,401.56,49.105,4.5,132235
238,554.84,51.425,8.3,23250
239,452.52,68.56,7.7,16795
240,361.51,66.8,8,9405
241,580.14,55.485,9.5,13445
242,517.81,53.89,5.7,33410
243,465.12,47.305,11,7310
244,490.39,48.645,5.7,19780
245,705.74,64.72,10,8360
246,450.36,49.59,8.1,34195
247,629.33,64.62,9.6,7945
248,765.82,55.29,9.7,9010
249,636.18,45.93,6.9,12575
250,483.64,47.435,12.8,3515
251,487.53,46.54,7.1,35280
252,544.46,45.91,9.7,13775
253,341.46,50.05,10.2,4100
254,608.37,49.28,11.1,5260
256,408.59,51.915,6.6,9545
257,431.25,52.49,4.6,19710
258,384.07,67.12,9.8,7030
259,434.06,60.345,15.6,2995
260,442.73,59.94,7.9,5195
261,494.97,62.205,5.6,6465
262,615.05,44.55,7.2,22925
263,740.74,58.015,13.7,2700
264,484.37,48.77,7.8,11355
266,322.67,60.15,5,71900
267,456.1,44.165,4.3,17540
268,646.32,69.8,6.7,2785
269,416.07,49.99,7.3,6970
270,465.34,39.32,5.9,194050
271,377.63,30.42,5.6,27805
272,623.44,42.005,6.7,118215
273,494.98,38.43,5.2,49295
274,418.89,30.8,6.5,527340
275,580.82,40.82,5.1,137220
276,467.07,37.04,6.1,111760
277,491.75,31.555,6.2,64260
278,314.03,30.05,4.6,39805
279,416,34.87,6.7,34135
280,352.58,28.315,5.7,203075
281,522.69,39.885,6,124165
282,333.76,29.78,4.6,47040
283,530.83,40,11.6,18650
284,417.84,28.85,6.5,24890
285,420.06,32.25,6,56420
286,390.95,28.9,4,111780
287,390.23,33.36,5.8,792355
288,407.53,41.49,6.1,292250
289,362.48,26.915,6.8,72555
290,338.05,31.24,6.2,39935
291,384.15,31.615,4.6,57530
292,406.69,38.755,4.7,47210
293,529.01,30.535,6.6,22495
294,433.55,30.46,6.3,21220
295,465.2,38.655,5.7,114145
296,419.34,36.93,7.5,41255
297,433.51,29.12,5.8,30680
298,313.65,27.715,6.7,31245
299,527.74,33.125,5.6,48130
300,484.5,35.805,5.4,30960
301,352.75,30.85,5.1,79660
302,359.66,31.61,5.1,31975
303,440.41,34.72,3,42915
304,435.7,35.895,3.8,64265
305,442.24,39.07,5.7,30300
306,310.89,27.375,4,59185
307,471.63,34.49,6,40710
308,472.66,34.82,5.9,87590
309,397.38,37.24,5.2,90090
310,449.2,36.89,7.2,23820
311,592.61,45.605,6.3,36280
312,420.27,39.95,4.5,52585
313,514.98,40.9,4.8,22525
314,602.24,26.87,7.7,7140
315,436.79,27.99,6,24955
316,610.26,46.85,8.1,23105
317,483.16,37.14,8.8,13660
318,475.77,38.105,5.5,51075
319,361.78,33.98,5.9,10780
320,280.09,34.77,3.5,36060
321,477.95,44.18,5.6,20295
322,437.33,32,8,45275
323,442.41,42.92,7.2,25090
324,432.29,36.79,6.6,14805
325,497.53,37.58,7.4,48640
326,474.59,32.74,4.7,29710
327,420.22,38.23,7,44500
328,422.44,30.32,7.5,57050
329,518.09,39.17,5.6,11195
330,468.02,34.24,8.7,27990
331,482.91,39.99,9.9,31890
332,374.77,37.2,4.1,18945
333,462.15,36.515,6.9,26615
334,475.6,33.35,6.5,16190
335,545.21,40.105,7.7,11005
336,447.68,34.29,5.1,37750
337,621.56,46.9,11.1,30890
338,460.1,35.61,5,24125
339,502.96,43.22,5.9,20280
340,594.74,31.02,5.4,13115
341,436.85,46.51,7.4,23120
342,460.64,32.97,7.2,35820
343,471.06,34.275,5.9,22290
344,441.28,34.425,3.3,28100
345,396.82,39.59,6.7,122725
346,525.5,41.35,6.1,29115
347,435.65,38.145,5.6,104670
348,406.6,35.62,6.3,36645
349,367.71,37.08,3.4,31275
350,373.07,31.6,6.8,10990
351,425.95,39.99,7.1,10095
352,426.8,40.535,5.4,119025
353,481.89,31.825,7.3,29675
354,492.88,33.35,5.3,31245
355,339.12,28.83,3.4,38040
356,453.2,34.06,4,20300
357,319.07,30.21,7.8,13790
358,458.3,35.05,7.1,10910
359,345.73,32.69,9.4,9545
360,577.81,34.7,8.6,20595
361,412.7,33.37,5.4,24715
362,420.2,43.28,4.2,14755
363,513.63,33.225,5.2,9540
364,457.09,41.92,5.2,21440
365,606.26,46.5,5.8,15505
366,472.26,34.53,5.1,73265
367,561.92,35.33,6.5,13525
368,496.07,50.71,7.5,28020
369,387.37,45.38,5.5,28655
370,290.1,29.96,3.9,17580
371,408.29,27.15,7.4,16165
372,528.42,41.345,7.1,12490
373,375.11,31.17,3.7,49585
374,323.4,27.91,6.3,11750
375,422.75,35.61,5.7,51330
376,417.34,41.81,4,21565
377,503.49,37.01,7.9,36545
378,420,35.86,5,21905
379,271.63,33.62,7.2,12885
380,479.06,37.245,7.1,34025
381,431.83,38.89,6.3,29410
382,372.12,29.81,5,45415
383,555.56,43.705,9.5,5760
384,608.7,45.55,10.4,9200
385,581.78,40.37,6.5,18220
386,391.09,31.235,4.3,20200
387,343.15,31.58,4,23605
388,547.61,40.065,5.3,28305
389,481.23,44.04,5.5,24105
390,452.08,41.1,4.1,34065
391,336.73,33.39,6.5,9800
392,477.05,33.195,6.9,13835
394,590.41,46.33,3,5420
395,280.25,34.03,6,3925
396,215.05,28.6,3.9,6510
398,483.15,37.28,5.1,7865
399,539.81,31.21,7.2,3705
400,219.78,31.41,6.1,8190
401,430.88,44.73,3.1,5570
402,467.94,45.04,4.5,5770
403,513.02,71.095,10.9,116565
404,533.8,56.54,10.5,34470
405,466.51,19.63,7.6,43515
406,373.79,18.8,10.1,41200
407,459.91,47.29,8.4,16090
408,445.58,51.03,7.5,268640
409,655.85,64.79,12.5,15095
410,349.35,36.49,10.1,180905
411,519.12,57.94,10.8,46425
412,594.11,58.415,12.6,21040
413,547.75,58.05,9.1,61890
414,515.88,38.5,6.7,97115
415,273.4,11.7,13.2,66935
416,487.76,59.26,11.8,55970
417,502.7,38.295,7.1,105430
418,485.53,57.515,9,21420
419,448.85,74.595,9.7,57035
420,538.67,35.145,7.7,31745
421,649.98,47.265,8.9,46155
422,636.27,70.925,21.5,4715
423,586.19,71.86,15.3,10065
424,563.9,69.44,12,40610
425,383.85,32.19,7.3,80500
426,451.32,25.48,8.8,23930
427,280.07,19.685,21.6,57485
428,481.66,27.88,8.4,31765
429,444.02,28.9,7.1,20945
430,502.87,42.445,6.2,27045
431,363.94,55.51,14,6045
432,537,50.105,6.9,77840
433,420.47,42.855,9.5,26875
434,498.77,44.56,5.4,144755
435,484.35,59.51,16.8,8465
436,514.71,48.51,8.7,31280
437,451.75,24.335,11.6,65080
438,558.17,55.315,11.7,14870
439,663.29,64.16,12,10855
440,564.04,27.9,9.8,4255
441,464.22,48.35,8.4,54500
442,520.83,48.225,7.7,10560
443,553.8,61.29,13.8,28530
444,488.63,14.64,10.4,20670
445,573.27,47.47,10.4,27910
446,438.57,45.98,6.4,49935
447,412.57,56.54,11.7,15755
448,513.73,55.34,9.4,33870
449,529.7,51.09,9.3,26430
450,514.33,58.79,12.6,30525
451,375,38.12,7,21600
452,467.46,36.42,7.1,30805
453,457.86,45.57,6.2,215785
454,512.82,58.86,8.8,28665
455,629.18,60.2,12.5,14940
456,555.74,73.525,9.5,30050
457,663.48,52.72,9.7,16730
458,523.92,28.28,9.4,4390
459,402.88,64.2,11.2,6950
460,625,21.25,6.7,6560
461,495.87,55.94,12,10285
462,475.36,39.75,10.1,46070
463,492.72,69.195,17.7,13395
464,491.6,38.865,11.5,20545
465,506.19,52.47,10.2,9285
466,505.17,54.66,10.6,13065
467,488.37,72.695,11.9,21705
468,495.17,32.8,11,11915
469,457.9,23.92,6.9,6770
470,551.68,62.93,9.3,33715
471,605.28,68.08,8.5,15530
472,351.16,38.7,9.4,12245
473,519.48,58.13,11.8,17710
474,576.22,38.96,10,13710
475,330.71,30.88,9.3,6350
476,408.35,37.33,10.9,11020
477,386.56,74.32,15.8,10865
478,550.92,47.89,11.5,13795
479,514.37,34.225,9.4,6610
480,563.38,62.45,14.2,4615
481,360.24,21.76,12.1,7495
482,658.1,59.95,9.2,9725
483,477.37,32.14,9.7,6075
484,433.12,57.61,12.9,7850
485,450.16,51.6,10.9,13995
486,602.62,55.48,10.9,11450
487,632.18,62.815,19.7,8700
488,604.95,61.56,17.5,5455
489,641.47,42.05,9.5,8730
490,388.89,33.975,9.7,9000
491,179.03,19.06,13,3910
492,405.19,18.29,8.3,15795
493,482.36,36.325,8.2,16585
494,435.26,48.82,9,13785
495,416.37,44.41,4.6,27860
496,679.25,58.9,10.6,5300
497,499.76,38.44,9.2,10605
498,639.73,60.705,10.2,8910
499,492.89,56.94,15.6,10550
500,609.86,68.54,9,28695
501,738.26,41.84,10.6,4470
502,474.31,61.7,13.3,5060
503,470.79,21.18,11,5735
504,892.86,66.39,15.2,2800
505,488.61,44.88,6.5,30290
506,441.66,30.435,8.3,21510
507,454.27,36.875,10.1,8145
508,532.52,14.975,11,11455
509,631.2,50.3,9.2,16635
510,360.94,34.34,11.1,10805
511,648.49,62.52,13.5,6785
512,619.31,22.715,14.8,2745
513,372.77,29.08,14.8,6170
514,373.25,18.08,11.5,3215
515,441.32,37.48,6.9,15635
516,267.16,21.56,21,10855
517,290.11,39.075,6.3,11375
518,472.18,22.5,9.6,5930
519,311.42,20.61,8.4,2890
520,305.16,22.35,19.7,40635
521,626.78,48,13.1,3510
522,583.55,46.775,9.7,3770
523,518.87,61.26,14.6,2120
524,394.74,24.475,13.9,760
525,155.04,69.845,20.8,645
526,201.15,15.46,16.8,3480
527,811.08,58.61,12.7,5055
528,666.05,71.66,13.3,5405
529,404.16,47.745,12.1,8165
530,419.29,60.08,13.1,2385
531,63.69,22.66,24.3,1570
532,463.88,54.27,7.6,26300
533,334.73,56.95,19.3,2390
534,461.17,57.93,9.2,4120
535,246.91,20.48,4.4,1215
536,333.33,27.105,15.2,3600
537,640,62.475,21.2,2500
538,238.56,21.355,18.9,15510
539,507.97,39.965,7.8,33860
540,316.93,30.79,4,189315
541,469.93,37.06,5.4,238335
542,450.14,26.04,4.6,83085
543,322.74,13.37,6.6,19830
544,322.07,21.205,4.7,38190
545,359.12,31.405,5.4,55135
546,487.08,32.06,4.6,77810
547,384.52,19.03,6.6,42130
548,461.4,40.45,5.6,136325
549,531.18,43.965,7.9,89800
550,343.84,14.03,6.8,13960
551,558.34,19.025,5.4,6985
552,268.23,32.78,4.4,47720
553,435.97,33.565,7.3,27525
554,419.02,32.8,5.9,46060
555,381.09,24.32,5.3,14170
556,344.07,24.1,4.8,22670
557,451.51,33.35,6.7,39645
558,420.66,16.68,6.6,18780
559,228.05,22.36,8.1,4385
560,334.39,27.38,6.2,37680
561,370.06,23.78,5.2,41885
562,292.28,18.11,8.1,2395
563,543.8,49.02,10.4,53880
564,316.97,23.71,5.5,9780
565,341.3,19.275,6.9,8790
566,383.06,31.16,10.8,9920
567,401.52,32.24,6.5,9215
568,327.03,21.22,6.7,9785
569,331.49,24.32,5.8,11765
570,376.38,21.15,6.2,13550
571,665.69,49.99,10.5,37555
572,324.36,18.785,7.7,14490
573,309.31,23.08,6.5,17135
574,533.42,47.33,11.2,29995
575,431.31,20.6,5,6260
576,424.51,29.175,5.1,83625
577,411.71,24.705,5.9,10930
578,356.23,22.14,8,13755
579,289.36,12.98,7.2,5875
580,240.79,15.06,7.4,14120
581,436.32,37.795,5.4,31170
582,237.65,21.04,7,13465
583,536.28,21.17,5.7,9510
584,330.54,15.965,6.1,22085
585,414.31,33.6,5.4,13275
586,357.14,12.74,5.4,6160
587,447.64,19.71,7.1,6255
588,311.12,22.69,6.3,35035
589,473.82,33.6,7,21105
590,230.13,20.64,9.9,4780
591,437.38,29.865,7.8,29265
592,290.99,21.63,6.7,17870
593,370.79,18.83,5.9,8900
594,229.28,21.85,7.1,5670
595,347.22,20.26,16,4320
596,443.72,33.87,5.3,27495
597,439.74,23.08,11.3,6140
598,295.6,25.82,5.6,14885
599,409.64,34.445,2.9,27585
600,270.92,18.59,7.1,6275
601,403.23,40.02,7,12400
602,268.41,27.02,5.3,13785
603,347.92,24.39,5.8,9485
604,368.18,15.52,7.2,7605
605,284.63,12.15,8,5270
606,367.83,29.475,5.8,24740
607,459.43,35.35,9.2,10230
608,224.62,22.05,7.2,11130
609,222.93,23.26,6,6280
610,337.39,21.23,7.6,5335
611,309.16,27.76,3.4,4205
612,429.45,24.74,8.8,26080
613,297.03,19.99,6.9,5050
614,705.63,58.67,14.1,9495
615,358.06,21.105,10.3,9775
616,475.06,20.905,5.7,4210
617,564.2,22.45,5.7,5140
618,424.93,25.22,5.7,3530
619,248.5,25.175,6.2,12475
621,546.53,37.27,7,27995
622,400.5,23.71,6.3,3995
623,320.2,16.17,17.4,4060
624,362.44,34.83,3.4,62080
625,417.52,26.87,5.4,9820
626,225.31,29.43,6,7545
627,528.38,39.32,8.4,14005
628,317.46,27.06,6.7,3780
629,296.5,15.97,7.4,3710
630,511.16,45.95,8.9,12325
631,220.69,22.9,5.5,3625
632,340.99,15.395,6.7,6745
633,408.94,30.595,5.5,10515
634,383.76,33.2,5.9,6775
635,430.33,28.585,6.8,4880
636,338.98,21.56,6.9,1770
637,238.61,20.46,6.6,4610
638,247.68,14.5,15.4,3230
639,534.61,44.11,9.2,7295
640,242.13,12.84,8,4130
641,489.46,33.88,5.7,27990
642,379.75,23.115,7,4740
643,598.8,18.1,4.7,835
644,391.91,32.62,6.9,7910
645,350.88,42.98,7.7,4275
646,366.33,29.87,5.3,11465
647,514.21,32.83,5.8,3695
648,130.89,14.345,14.8,3820
649,339.32,33.285,9.5,5010
650,380.84,28.12,6.7,8140
651,271.67,23.18,4.9,7730
652,300.9,28.215,5.5,4985
654,396.04,19.76,6.7,2020
655,405.55,14.64,9.1,4685
656,498.26,37.345,7.4,20070
657,260.47,34.17,7,5375
658,194.71,22.76,5.5,3595
659,396.95,17.94,7.7,3275
660,226.76,26.93,5.7,4410
661,368.27,25.58,5.8,3530
662,426.44,24.815,6.1,2345
663,804.83,43.495,10.8,2485
664,357.14,20.635,5.9,840
665,344.83,37.24,5,2610
666,388.86,32.61,7.5,9515
667,481.93,20.97,6.6,2075
668,88.11,18.46,11,1135
669,409.56,26.23,5.3,1465
670,206.19,13.49,12.3,970
671,173.01,32.175,7.5,2890
672,206.77,24.94,3.7,5320
673,699.09,42.9,8.5,3290
674,379.24,27.66,3.3,5010
675,272.37,37.52,7.5,2570
676,549.23,47.12,6.5,7465
678,397.55,34.93,8.5,3270
679,407.17,34,4.5,12280
680,298.51,18.365,8.8,3015
681,370.9,32.54,7.8,3505
682,202.02,19.165,5.4,990
683,627.56,37.63,9.7,3665
684,179.37,16.435,8.6,2230
685,458.19,41.36,6.2,8730
686,348.53,34.06,4.8,3730
687,584.42,25.77,5.9,1540
688,333.7,17.535,4.8,193290
689,421.35,42.845,5,225705
690,503.74,16.85,8.2,20050
691,345.24,14.53,7.3,24910
692,345.27,11.875,8.1,19405
693,307.96,13.27,7.9,86700
694,328.55,22.3,6.9,16740
695,316.57,8.79,7.1,16110
696,334.88,11.06,6.9,16125
697,416.12,23.06,8.8,56715
698,365.94,16.53,7,70230
699,364.66,15.88,6.6,415460
700,381.19,15.315,8.8,145335
701,426.87,7.97,4.6,65125
702,384.25,8.07,7,21080
703,169.62,11.11,7.5,32425
704,320.96,14.025,10.2,30845
705,334.56,41.95,6.2,58585
707,452.37,5.52,5.3,139265
708,208.53,14.805,5,88235
709,395.48,24.05,5.8,199250
710,451.43,29.395,6.9,34335
711,335.63,9.53,6.1,26815
712,453.2,11.31,9.7,5075
713,357.68,14.95,8.7,23485
714,457.71,11.91,8.1,5025
715,87.67,11.41,6.5,9125
716,358.41,9.07,5.6,50780
717,456.29,14.42,7.7,22135
718,374.96,10.24,10,104010
719,323,9.95,5.9,23220
720,250.35,8.98,4.7,3595
721,340.66,10.03,5.6,9100
722,150.78,12.39,7.1,16580
723,320.35,12.35,6.7,1148425
724,163.87,14.96,8.2,23800
725,361.39,15.76,10.6,10515
726,378.75,11.67,5.7,10825
727,457.84,52.9,6.8,26865
728,414.73,17.38,7.1,13985
729,424.76,9.79,9.1,11065
730,142.55,7.83,6.9,7015
731,197.72,15.47,13.3,6575
732,371.06,11.45,12.9,26680
733,251.26,11.16,7.8,1990
734,478.15,28.09,6.7,24260
735,436.51,14.175,5.1,2520
736,373.61,46.415,3.9,314230
737,409.69,12.44,7.5,86895
738,475.66,45.87,7.5,26700
739,458.38,7.435,9.8,33160
740,368.3,10.675,13.8,24165
741,310.25,16.09,5.2,13215
742,353.9,10.095,7.8,11020
743,433.32,11.51,8.1,13385
744,172.47,13.01,4.2,45805
745,340.58,14.9,10.6,8515
746,417.97,16.93,3.9,70100
747,398.7,10.95,8.6,30850
748,324.32,12.81,7,12950
749,306.2,8.165,5.7,6205
750,431.84,13.46,7.2,76880
751,315.57,16.47,4,192350
752,428.19,20.61,7.2,60020
753,341.84,43.54,3.8,22525
754,336.15,16.855,5.1,46705
755,255.43,9.985,7.8,3915
756,481.28,15.88,7,3740
757,328.17,18.96,4.7,163635
758,455.75,72.14,6.2,65825
759,381.96,16.58,7.5,9425
760,297.05,15.08,7.4,23565
761,324.9,14.235,7.4,13235
763,293.83,16.815,7,5105
764,313.5,26.53,3.3,98565
765,180.65,11.545,22.4,3875
766,343.49,14.19,4.6,225040
767,512.27,12.17,7.3,4685
768,374.57,8.26,5.9,358010
769,228.22,14.42,8.4,9640
770,417.71,12.95,5.3,5985
771,281.44,10.675,7.4,5685
772,416.56,14.49,10.5,19205
773,239.2,15.425,8.2,7525
774,343.17,10.65,5.7,352590
775,98.52,11.71,4.6,4060
777,304.38,8.465,8.2,7885
778,448.43,14.705,10.1,1115
779,305.6,11.5,11.3,2945
780,378.99,13.005,5.6,9235
781,311.34,11.44,6.1,95395
782,403.54,43.345,7.1,68395
783,406.71,78.96,7.2,18195
784,233.56,17.96,9.3,8135
785,365,38.595,6.2,22740
786,348.99,14.345,6.4,3725
787,385.42,3.045,10.1,26205
788,320,14.39,6.9,1250
789,375.92,7.45,11.1,40700
790,331.41,15.65,3.6,77245
792,137.93,8,4.2,1450
793,345.32,17.315,10.5,6950
794,428.96,54.14,5.5,76930
795,316.11,13.76,5.3,21195
796,253.22,14.93,5.8,22905
797,471.38,14.69,7.8,1485
799,266.31,6.89,4,3755
800,473.1,40.37,8.5,19235
801,310.79,17.755,15.1,5470
802,303.03,12.96,5.2,28380
803,533.92,7.09,7,31840
804,346.32,14.61,4.8,1155
805,258.06,8.48,5,1550
806,312.5,10.91,6.2,1600
807,411,6.305,8.2,66910
808,124.61,10.29,3.9,1605
809,133.04,7.7,6.5,4510
810,193.55,13.88,7.1,3100
811,349.28,31.875,6.9,14315
812,415.9,16.68,7.2,8175
813,273.22,14.64,10,1830
814,235.29,17.27,10.4,850
815,398.8,46.02,5.9,20060
816,466.85,6.615,5.5,5355
