Id,N.Species,AnnTempRange,AnnPrecip,MeanAnnTemp,RangeElev
26093,120,19.1,391,15.5,404
26094,149,19.6,312,16.5,521
26095,163,19.7,375,14,1057
26096,164,19.7,509,14.5,714
26097,161,20.6,453,14.5,872
26197,136,19,503,17,1157
26198,146,18.7,466,18,685
26199,138,18.6,311,17.5,981
26200,136,18.5,282,20,490
26201,131,18.4,265,16,833
26202,130,18.4,272,16,626
26203,135,18.1,373,15,495
26204,150,18.2,384,9.5,923
26205,158,18.7,295,12.5,435
26206,143,18.7,333,14,356
26207,161,18.9,545,15,801
26208,178,19.2,772,14.5,978
26209,157,19.1,763,11,1016
26210,159,19,618,12,804
26211,159,20,542,14.5,494
26309,132,17.5,2210,14,1394
26310,135,17,913,2.5,2346
26311,135,16.8,661,10.5,966
26312,134,17,541,15.5,1006
26313,149,17.3,363,18,931
26314,151,17.8,277,16.5,597
26315,162,18,442,14.5,972
26316,152,17.8,634,10,1063
26317,150,18.1,361,10,947
26318,156,18.6,381,11,825
26319,156,18.7,552,13,674
26320,167,18.8,686,11,877
26321,164,19.3,640,14,663
26322,159,19.4,503,15,745
26323,159,19.7,460,16,602
26421,124,15.3,1996,7,1777
26422,128,15.4,1599,10.5,900
26423,128,15.3,2221,7.5,1272
26424,132,15.9,2133,8,2187
26425,137,16.7,1160,10,1205
26426,139,17,1929,7,1992
26427,151,17.4,1016,7,1235
26428,152,17.8,559,10.5,559
26429,149,18.1,646,13,465
26430,146,18,680,11,452
26431,171,18.1,713,11.5,985
26432,155,18.6,627,13.5,591
26433,159,19.5,473,16.5,469
26434,158,20.2,416,15,611
26435,158,20.3,331,16.5,662
26531,117,14.8,2072,16.5,1048
26532,113,15,1873,15,1211
26533,110,15,2130,12.5,1106
26534,115,15,2216,11.5,1100
26535,117,15.6,2212,11,1205
26536,121,16.6,2474,12,1436
26537,122,16.8,1909,10,1387
26538,143,16.7,1193,8.5,1210
26539,155,17.1,916,9,905
26540,149,17.4,776,10.5,790
26541,147,17.3,982,15,396
26542,172,17.4,687,15,317
26543,160,18.5,492,14.5,635
26544,170,20.5,442,14,864
26545,174,21.1,367,16,629
26640,113,14.8,1253,19.5,223
26641,109,14.9,1401,19.5,361
26642,109,14.9,2216,15.5,1175
26643,105,14.7,2272,14.5,1077
26644,105,14.6,2202,13,1015
26645,107,14.7,2244,13,1189
26646,109,16.4,2090,14.5,1163
26647,111,15.9,1577,12.5,1143
26648,128,15.7,1713,11,1615
26649,134,16.2,1547,9.5,1611
26650,130,16.3,1370,10.5,1167
26651,133,16.3,1630,13,1091
26652,175,17,887,13.5,883
26653,179,18.9,869,13,1070
26654,175,20.6,422,14.5,1179
26747,107,14.3,1250,17,544
26748,115,14.9,1062,17.5,565
26749,111,15,1093,18.5,264
26750,106,14.9,1215,19.5,286
26751,112,14.8,1668,18,631
26752,117,14.7,1946,16,1073
26753,112,14.4,1816,16.5,1058
26754,110,14.6,1863,15,973
26755,112,15.1,1599,14.5,1094
26756,109,14.7,1485,14.5,1186
26757,114,14.8,1384,13.5,1242
26758,116,15.6,1428,16.5,1328
26759,116,16.2,1391,15.5,1080
26760,128,16.8,1437,15.5,1403
26761,137,17.2,1375,11.5,1713
26762,146,18.3,1083,13,1332
26763,149,19.4,534,17,871
26854,104,13,1611,16.5,550
26855,105,14,1449,17,596
26856,114,15.2,1243,18,626
26857,113,14.6,1107,19,370
26858,113,14.4,1106,19.5,275
26859,116,14.4,1144,20,251
26860,117,14.3,1221,19.5,292
26861,117,14.6,1385,17.5,803
26862,119,14.4,1266,17.5,734
26863,116,14.2,1453,15,974
26864,111,14.1,1749,12.5,1298
26865,113,14.7,1547,16.5,1082
26866,115,15.7,1306,18,1144
26867,122,16.6,1430,18,1293
26868,135,17.1,1025,19.5,1039
26869,144,17.5,886,18.5,1093
26870,147,17.7,767,15.5,1317
26960,106,11,2899,14.5,810
26961,101,11.8,3283,13,728
26962,104,12.6,2633,14.5,866
26963,107,13.2,2178,16,776
26964,114,13.9,1307,17,670
26965,121,13.5,1241,16.5,658
26966,117,14.1,1115,17.5,474
26967,119,13.8,1173,19,355
26968,122,14.2,1142,18.5,244
26969,121,14.1,1224,19.5,357
26970,117,14,1485,17.5,788
26971,116,14.2,1483,16.5,1033
26972,122,14.9,1595,16,1176
26973,122,15.6,1205,18.5,1023
26974,129,16.4,1149,18.5,824
26975,145,17.2,598,21.5,625
26976,140,17.6,874,18.5,1378
26977,139,17.9,1137,16,1363
27066,105,10.5,3287,13.5,710
27067,105,10.6,3721,13.5,812
27068,106,9.9,3290,13.5,830
27069,104,11.2,2528,13,838
27070,108,12,2998,13.5,912
27071,112,11.6,1926,15,856
27072,113,11.8,1976,15.5,979
27073,113,12.5,1583,15.5,811
27074,118,13.2,1407,18,494
27075,112,14,1373,19.5,419
27076,115,14.1,1028,19,554
27077,119,14.7,937,20.5,598
27078,121,15.1,923,19.5,655
27079,126,15.5,1224,17,1134
27080,135,16.9,1026,17.5,1180
27081,136,17.5,765,19,917
27082,137,17.7,1250,16,1482
27175,106,9.9,2248,16,599
27176,105,8.3,2309,15.5,530
27177,104,9.6,2443,15.5,755
27178,106,11.3,2314,17,511
27179,109,12.3,1789,17.5,667
27180,116,13.1,1682,19,575
27181,117,13.3,1572,19,638
27182,116,14.2,1122,19,702
27183,122,15,1052,18,849
27184,129,16,962,19,867
27185,133,16.9,983,19.5,966
27186,135,16.6,1404,15.5,1502
27282,112,11,2344,18,409
27283,114,10.9,2245,19,461
27284,107,10.1,2110,17,585
27285,112,11.3,2081,17.5,744
27286,114,13.6,2397,18.5,934
27287,125,13.8,2724,17.5,1048
27288,125,14.7,1809,17,1221
27289,127,14.5,1156,16,1106
27290,128,14.5,2266,17,1085
27387,117,8.5,1680,18,244
27388,114,11.1,1635,20.5,406
27389,116,12.3,2338,18,870
27390,122,12.3,2561,18,1097
27391,121,11.7,1266,18,1104
27392,121,9.5,2235,15,1261
27490,121,11.1,2075,18.5,673
27491,117,11.6,2255,18.5,737
27492,121,10.6,3355,17.5,1008
27493,119,8.2,2517,17,906
